formula,left_id,left_split,right_id,right_split
AcF3,JVASP-38763,test,JVASP-37945,train
Ag3SI,JVASP-51352,test,JVASP-53111,train
Ag3SI,JVASP-51352,test,JVASP-8571,train
Ag3SI,JVASP-53421,test,JVASP-53111,train
Ag3SI,JVASP-53421,test,JVASP-8571,train
Ag3SI,JVASP-57806,test,JVASP-53111,train
Ag3SI,JVASP-57806,test,JVASP-8571,train
AgBr,JVASP-8583,test,JVASP-56474,train
AgI,JVASP-52585,train,JVASP-1957,val
AgI,JVASP-79802,train,JVASP-8566,val
AlBiO3,JVASP-34269,train,JVASP-8575,val
AlF3,JVASP-58383,train,JVASP-20310,val
AlF3,JVASP-58383,train,JVASP-61470,val
Cd(HO)2,JVASP-29805,train,JVASP-29803,val
CrS2,JVASP-189,train,JVASP-192,val
CuBr,JVASP-1948,train,JVASP-8762,val
Fe(HO)2,JVASP-29858,train,JVASP-29859,val
GaBiO3,JVASP-8569,test,JVASP-50197,train
H3BrO,JVASP-54710,train,JVASP-54711,val
KBe2BO3F2,JVASP-21446,train,JVASP-62989,val
KCaF3,JVASP-21101,train,JVASP-57777,val
KNO2,JVASP-8812,test,JVASP-34197,train
Li4CO4,JVASP-34224,train,JVASP-34239,val
LiSnCl3,JVASP-36898,test,JVASP-36959,train
Mn(HO)2,JVASP-29808,train,JVASP-29860,val
Mo3W(SeS3)2,JVASP-28591,test,JVASP-28796,train
Na4CO4,JVASP-34280,test,JVASP-34268,train
NaHO,JVASP-8600,test,JVASP-54761,train
NaHO,JVASP-8600,test,JVASP-8601,train
NaMgF3,JVASP-20822,train,JVASP-57604,val
NaNbO3,JVASP-8033,train,JVASP-9604,val
NbCoTe2,JVASP-12034,test,JVASP-14161,train
Ni(HO)2,JVASP-29784,test,JVASP-29863,train
Ni(HO)2,JVASP-29784,test,JVASP-29867,train
Ni(HO)2,JVASP-29784,test,JVASP-8753,train
Ni(HO)2,JVASP-29786,test,JVASP-29863,train
Ni(HO)2,JVASP-29786,test,JVASP-29867,train
Ni(HO)2,JVASP-29786,test,JVASP-8753,train
NiO2,JVASP-237,test,JVASP-29283,train
NiO2,JVASP-237,test,JVASP-30559,train
NiO2,JVASP-237,test,JVASP-8247,train
O2,JVASP-25277,train,JVASP-25272,val
PbF2,JVASP-1256,test,JVASP-52662,train
Rb2O,JVASP-7789,test,JVASP-22700,train
Rb2O,JVASP-7789,test,JVASP-50160,train
RbHO,JVASP-51017,train,JVASP-51007,val
RbHO,JVASP-51721,train,JVASP-51007,val
RbPbF3,JVASP-53402,test,JVASP-8464,train
ScF3,JVASP-21618,test,JVASP-57479,val
Te2Mo,JVASP-29102,test,JVASP-59,train
Te2Mo,JVASP-29102,test,JVASP-60,train
Te2Mo,JVASP-29102,test,JVASP-61,train
WSe2,JVASP-31796,train,JVASP-74,val
WSe2,JVASP-31796,train,JVASP-75,val
WSe2,JVASP-31796,train,JVASP-76,val
Zn(HO)2,JVASP-29799,test,JVASP-29800,train
