material_id,protocol_split,source_csv,target_file,valid,error,formula,atom_count,tensor_norm,exact_zero,response_stratum,source_voigt_convention_valid,raw_irreps_valid,target_schema_valid,target_valid,rotations_valid,stored_reynolds_residual,reynolds_invariance_error,voigt_roundtrip_error,niggli_change_integral_error,niggli_change_determinant,basis_lattice_roundtrip_error,basis_frac_roundtrip_error,niggli_lattice_idempotence_error,niggli_frac_idempotence_error,niggli_representation_idempotent,niggli_quotient_lattice_error,niggli_quotient_frac_error,tensor_rotated_by_basis_change
JVASP-10123,test,train.csv,95f8d885ae977ddf.pt,True,,KP,16,0.20123931765556335,False,2,True,True,True,True,True,0.0,0.0,0.0,5.696220485402849e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-10173,test,train.csv,c19ba072f08d5fef.pt,True,,SbTe,12,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-104,test,train.csv,c3658586b8fc596d.pt,True,,TiO2,12,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,6.296823288294109e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-10472,test,train.csv,01928e5cbd86ebdf.pt,True,,NaSi2N3,24,0.9513816237449646,False,3,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-10572,test,train.csv,305c747e347cfa13.pt,True,,Rb3NbO8,24,0.419729083776474,False,2,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-10705,test,train.csv,f91c497f20a372ca.pt,True,,HgSeO4,12,0.9941785335540771,False,3,True,True,True,True,True,0.0,0.0,0.0,8.358972017263768e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-10760,test,test.csv,3d251cec5750adcb.pt,True,,TlCd(NO2)3,33,0.6948631405830383,False,3,True,True,True,True,True,8.970979337163953e-08,2.9802322387695312e-08,0.0,4.391720238087604e-17,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-10862,test,train.csv,5697725725ea53e1.pt,True,,Al2Se3,20,0.7824493646621704,False,3,True,True,True,True,True,0.0,0.0,0.0,5.505312509757936e-33,1,0.0,5.551115123125783e-17,0.0,0.0,True,0.0,0.0,False
JVASP-10867,test,train.csv,621135e530e32f34.pt,True,,SiC,30,1.6816216707229614,False,4,True,True,True,True,True,1.8051608208224934e-07,5.960464477539063e-08,1.4901161193847656e-08,2.87765116114028e-17,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-1102,test,train.csv,874d543710177f86.pt,True,,TePb,8,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1103,test,train.csv,0bc7e2128549b0d3.pt,True,,TePb,8,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.835135234157122e-32,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1104,test,train.csv,faaf0f1e11cdb3c0.pt,True,,TePb,8,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.5303758326596692e-32,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-11052,test,train.csv,24ba71ba687e2f92.pt,True,,CaMn2F10,26,0.12026108056306839,False,2,True,True,True,True,True,0.0,0.0,0.0,3.624219933707463e-33,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-11200,test,train.csv,9457ef8ff9528d64.pt,True,,Na2PtSe2,20,0.0876406729221344,False,2,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-11300,test,train.csv,b0c7179a04dd0e49.pt,True,,MgSnF4,12,0.371674507856369,False,2,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1144,test,train.csv,9ba3ad675aa94c36.pt,True,,KCl,8,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,4.736380908040834e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1145,test,train.csv,5b0c35ba0bc70ad0.pt,True,,KCl,8,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.9790793669191223e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1146,test,train.csv,05cad9f3eefa5cc6.pt,True,,KCl,8,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,4.2018268703426784e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1169,test,train.csv,cb08c734e1e799b6.pt,True,,ThO2,12,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,7.748559701313847e-34,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1171,test,test.csv,1ae076c4b5dfbb51.pt,True,,Na2S,12,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,3.2678149439409725e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-11820,test,test.csv,de95354367f4e82c.pt,True,,BaNiO3,10,0.0013893163995817304,False,1,True,True,True,True,True,6.345442686008103e-18,4.407674707047856e-21,0.0,1.0972124867820162e-32,1,0.0,1.1102230246251565e-16,4.922391550510937,0.33333333333333337,False,0.0,0.0,False
JVASP-12005,test,train.csv,b8df86bb313fe042.pt,True,,SbAsO3,20,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,6.259814759429236e-18,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-12019,test,train.csv,6f72a55687bbfaca.pt,True,,CoO2,6,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-12033,test,train.csv,be67accedcf5de58.pt,True,,YI3,24,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,3.385192928170658e-17,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-12034,test,test.csv,afda5558381b467c.pt,True,,NbCoTe2,16,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,2.1489383175509573e-17,1,0.0,5.551115123125783e-17,0.0,0.0,True,0.0,0.0,False
JVASP-12063,test,train.csv,94e20d5eaca4e6ca.pt,True,,CoO2,6,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,1.1102230246251565e-16,0.0,0.0,True,0.0,0.0,False
JVASP-12104,test,train.csv,9499377ac0d5ef51.pt,True,,FeS,4,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,6.763666624766922e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-12170,test,train.csv,321146723dbdd498.pt,True,,W(OF)2,10,0.28919029235839844,False,2,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-12178,test,train.csv,81fe665b6135258a.pt,True,,Li2WS4,7,0.4957127273082733,False,2,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-12195,test,train.csv,c29e3cf124c4eee3.pt,True,,NiO2,6,0.01639544405043125,False,1,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1245,test,train.csv,a0f907d9a08427b8.pt,True,,CdF2,12,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,9.696042462632924e-33,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
JVASP-1256,test,train.csv,0a4d9441bee83139.pt,True,,PbF2,12,0.0,True,0,True,True,True,True,True,0.0,0.0,0.0,1.1102230246251565e-16,1,0.0,0.0,0.0,0.0,True,0.0,0.0,False
