source_protocol,sample,target,cif_index_atom_accuracy,species_aware_structure_match,species_aware_rms
gate_a7_joint_type_set_v1,0,0,0.5,False,
gate_a7_joint_type_set_v1,1,0,1.0,True,0.0
gate_a7_joint_type_set_v1,2,0,0.5,False,
gate_a7_joint_type_set_v1,3,0,0.0,True,0.0
gate_a7_joint_type_set_v1,4,0,0.5,False,
gate_a7_joint_type_set_v1,5,0,1.0,True,0.0
gate_a7_joint_type_set_v1,6,0,0.0,True,0.0
gate_a7_joint_type_set_v1,7,0,0.0,True,0.0
gate_a7_joint_type_set_v1,8,1,0.5,False,
gate_a7_joint_type_set_v1,9,1,0.5,False,
gate_a7_joint_type_set_v1,10,1,0.5,False,
gate_a7_joint_type_set_v1,11,1,0.0,True,0.0
gate_a7_joint_type_set_v1,12,1,0.0,True,0.0
gate_a7_joint_type_set_v1,13,1,0.5,False,
gate_a7_joint_type_set_v1,14,1,0.5,False,
gate_a7_joint_type_set_v1,15,1,0.5,False,
gate_a8_time_conditioned_type_set_v1,0,0,0.0,True,0.0
gate_a8_time_conditioned_type_set_v1,1,0,0.5,False,
gate_a8_time_conditioned_type_set_v1,2,0,1.0,True,0.0
gate_a8_time_conditioned_type_set_v1,3,0,0.5,False,
gate_a8_time_conditioned_type_set_v1,4,0,0.5,False,
gate_a8_time_conditioned_type_set_v1,5,0,0.5,False,
gate_a8_time_conditioned_type_set_v1,6,0,1.0,True,0.0
gate_a8_time_conditioned_type_set_v1,7,0,0.5,False,
gate_a8_time_conditioned_type_set_v1,8,1,0.0,True,0.0
gate_a8_time_conditioned_type_set_v1,9,1,0.0,True,0.0
gate_a8_time_conditioned_type_set_v1,10,1,1.0,True,1.0690605449630291e-16
gate_a8_time_conditioned_type_set_v1,11,1,0.5,False,
gate_a8_time_conditioned_type_set_v1,12,1,1.0,True,1.0690605449630291e-16
gate_a8_time_conditioned_type_set_v1,13,1,0.5,False,
gate_a8_time_conditioned_type_set_v1,14,1,1.0,True,1.0690605449630291e-16
gate_a8_time_conditioned_type_set_v1,15,1,1.0,True,1.0690605449630291e-16
gate_a9_source_weighted_type_set_v1,0,0,1.0,True,0.0
gate_a9_source_weighted_type_set_v1,1,0,0.5,False,
gate_a9_source_weighted_type_set_v1,2,0,0.5,False,
gate_a9_source_weighted_type_set_v1,3,0,0.5,False,
gate_a9_source_weighted_type_set_v1,4,0,1.0,True,0.0
gate_a9_source_weighted_type_set_v1,5,0,1.0,True,0.0
gate_a9_source_weighted_type_set_v1,6,0,0.5,False,
gate_a9_source_weighted_type_set_v1,7,0,0.5,False,
gate_a9_source_weighted_type_set_v1,8,1,0.25,False,
gate_a9_source_weighted_type_set_v1,9,1,0.5,False,
gate_a9_source_weighted_type_set_v1,10,1,0.5,False,
gate_a9_source_weighted_type_set_v1,11,1,0.5,False,
gate_a9_source_weighted_type_set_v1,12,1,0.5,False,
gate_a9_source_weighted_type_set_v1,13,1,0.5,False,
gate_a9_source_weighted_type_set_v1,14,1,0.5,False,
gate_a9_source_weighted_type_set_v1,15,1,0.5,False,
