material_id,representation_symmetry,operation_index,cartesian_determinant,fractional_rotation,fractional_translation,site_permutation_zero_based
JVASP-1180,proper_so3,0,1.0,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0, 1, 2, 3]"
JVASP-1180,proper_so3,1,1.0,"[[0.0, 1.0, 0.0], [-1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.5]","[1, 0, 3, 2]"
JVASP-1180,proper_so3,2,0.9999999999999999,"[[-1.0, 1.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, -1.0]]","[0.0, 0.0, 0.62]","[2, 3, 0, 1]"
JVASP-1180,proper_so3,3,0.9999999999999999,"[[-1.0, 0.0, 0.0], [-1.0, 1.0, 0.0], [0.0, 0.0, -1.0]]","[0.0, 0.0, 0.12]","[3, 2, 1, 0]"
JVASP-1180,full_o3_scalar,0,1.0,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0, 1, 2, 3]"
JVASP-1180,full_o3_scalar,1,-1.0,"[[-1.0, 0.0, 0.0], [0.0, -1.0, 0.0], [0.0, 0.0, -1.0]]","[0.0, 0.0, 0.12]","[3, 2, 1, 0]"
JVASP-1180,full_o3_scalar,2,1.0,"[[0.0, 1.0, 0.0], [-1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.5]","[1, 0, 3, 2]"
JVASP-1180,full_o3_scalar,3,-1.0,"[[0.0, -1.0, 0.0], [1.0, -1.0, 0.0], [0.0, 0.0, -1.0]]","[0.0, 0.0, 0.62]","[2, 3, 0, 1]"
JVASP-22673,proper_so3,0,0.9999999999999999,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0, 1, 2, 3]"
JVASP-22673,proper_so3,1,0.9999999999999999,"[[0.0, 1.0, 0.0], [-1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.3333333333333333, 0.6666666666666666, 0.5]","[3, 2, 1, 0]"
JVASP-22673,full_o3_scalar,0,0.9999999999999999,"[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]","[0, 1, 2, 3]"
JVASP-22673,full_o3_scalar,1,-0.9999999999999999,"[[-1.0, 0.0, 0.0], [0.0, -1.0, 0.0], [0.0, 0.0, -1.0]]","[0.3333333333333333, 0.6666666666666666, 0.5]","[3, 2, 1, 0]"
