material_id,group_scope,partial_state,partial_tokens,full_group_size,residual_group_size,residual_permutations_zero_based
JVASP-1180,proper_so3_production,all_mask,"[119, 119, 119, 119]",4,4,"[[0, 1, 2, 3], [1, 0, 3, 2], [2, 3, 0, 1], [3, 2, 1, 0]]"
JVASP-1180,proper_so3_production,one_revealed_species,"[49, 119, 119, 119]",4,1,"[[0, 1, 2, 3]]"
JVASP-1180,proper_so3_production,fully_revealed_species,"[49, 49, 7, 7]",4,2,"[[0, 1, 2, 3], [1, 0, 3, 2]]"
JVASP-1180,full_o3_diagnostic,all_mask,"[119, 119, 119, 119]",4,4,"[[0, 1, 2, 3], [3, 2, 1, 0], [1, 0, 3, 2], [2, 3, 0, 1]]"
JVASP-1180,full_o3_diagnostic,one_revealed_species,"[49, 119, 119, 119]",4,1,"[[0, 1, 2, 3]]"
JVASP-1180,full_o3_diagnostic,fully_revealed_species,"[49, 49, 7, 7]",4,2,"[[0, 1, 2, 3], [1, 0, 3, 2]]"
JVASP-22673,proper_so3_production,all_mask,"[119, 119, 119, 119]",2,2,"[[0, 1, 2, 3], [3, 2, 1, 0]]"
JVASP-22673,proper_so3_production,one_revealed_species,"[5, 119, 119, 119]",2,1,"[[0, 1, 2, 3]]"
JVASP-22673,proper_so3_production,fully_revealed_species,"[5, 5, 7, 7]",2,1,"[[0, 1, 2, 3]]"
JVASP-22673,full_o3_diagnostic,all_mask,"[119, 119, 119, 119]",2,2,"[[0, 1, 2, 3], [3, 2, 1, 0]]"
JVASP-22673,full_o3_diagnostic,one_revealed_species,"[5, 119, 119, 119]",2,1,"[[0, 1, 2, 3]]"
JVASP-22673,full_o3_diagnostic,fully_revealed_species,"[5, 5, 7, 7]",2,1,"[[0, 1, 2, 3]]"
