variant,time,target,head,base_velocity_rms,conditional_residual_rms,gated_conditional_residual_rms,gated_residual_over_base,g_t,conditional_control,checkpoint_step
original_injection,0.0,0,type_logit,0.5849291086196899,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,6,type_logit,0.5767858624458313,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,0,fractional_coordinate,0.027579311281442642,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,2,fractional_coordinate,0.029220301657915115,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,4,fractional_coordinate,0.05130577087402344,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,6,fractional_coordinate,0.03366945683956146,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,7,fractional_coordinate,0.04385286942124367,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,1,lattice_log,2.5595173835754395,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,2,lattice_log,2.145784616470337,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,3,lattice_log,2.2389280796051025,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,4,lattice_log,2.2474570274353027,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.0,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,0,type_logit,0.5849290490150452,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,1,type_logit,0.5785667300224304,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,2,type_logit,0.5813449621200562,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,3,type_logit,0.5750471353530884,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,4,type_logit,0.5740634799003601,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,5,type_logit,0.5763946771621704,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,6,type_logit,0.5767858624458313,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,7,type_logit,0.5857753753662109,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,0,fractional_coordinate,0.027579309418797493,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,1,fractional_coordinate,0.03752638399600983,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,2,fractional_coordinate,0.029220301657915115,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,3,fractional_coordinate,0.034672439098358154,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,4,fractional_coordinate,0.051305774599313736,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,5,fractional_coordinate,0.03103172779083252,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,6,fractional_coordinate,0.03366945683956146,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,7,fractional_coordinate,0.043852873146533966,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,0,lattice_log,2.122840642929077,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,1,lattice_log,2.5595171451568604,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,2,lattice_log,2.145785093307495,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,3,lattice_log,2.2389280796051025,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,4,lattice_log,2.2474570274353027,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,5,lattice_log,2.097818374633789,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,6,lattice_log,2.0944879055023193,0.0,0.0,0.0,1.0,original_injection,400
original_injection,0.125,7,lattice_log,2.122718572616577,0.0,0.0,0.0,1.0,original_injection,400
