subspace,time,quantity,pairwise_rms
type,0.0,state_type_logit,0.0
type,0.0,state_fractional_coordinate,0.28458449244499207
type,0.0,state_lattice_log,0.4191279411315918
type,0.0,velocity_type_logit,0.07836657017469406
type,0.0,velocity_fractional_coordinate,0.07394582033157349
type,0.0,velocity_lattice_log,0.024272771552205086
type,0.0625,state_type_logit,0.004897912032902241
type,0.0625,state_fractional_coordinate,0.28458449244499207
type,0.0625,state_lattice_log,0.4191279411315918
type,0.0625,velocity_type_logit,0.07218099385499954
type,0.0625,velocity_fractional_coordinate,0.07065772265195847
type,0.0625,velocity_lattice_log,0.022253939881920815
type,0.125,state_type_logit,0.009407270699739456
type,0.125,state_fractional_coordinate,0.28458449244499207
type,0.125,state_lattice_log,0.4191279411315918
type,0.125,velocity_type_logit,0.06659295409917831
type,0.125,velocity_fractional_coordinate,0.06761033833026886
type,0.125,velocity_lattice_log,0.0204092338681221
type,0.1875,state_type_logit,0.01356387697160244
type,0.1875,state_fractional_coordinate,0.28458449244499207
type,0.1875,state_lattice_log,0.4191279411315918
type,0.1875,velocity_type_logit,0.061544269323349
type,0.1875,velocity_fractional_coordinate,0.06478849053382874
type,0.1875,velocity_lattice_log,0.018725262954831123
type,0.25,state_type_logit,0.017400262877345085
type,0.25,state_fractional_coordinate,0.28458449244499207
type,0.25,state_lattice_log,0.4191279411315918
type,0.25,velocity_type_logit,0.056980427354574203
type,0.25,velocity_fractional_coordinate,0.06217651069164276
type,0.25,velocity_lattice_log,0.017189666628837585
type,0.3125,state_type_logit,0.020945880562067032
type,0.3125,state_fractional_coordinate,0.28458449244499207
type,0.3125,state_lattice_log,0.4191279411315918
type,0.3125,velocity_type_logit,0.052851732820272446
type,0.3125,velocity_fractional_coordinate,0.05975878983736038
type,0.3125,velocity_lattice_log,0.015790967270731926
type,0.375,state_type_logit,0.024227358400821686
type,0.375,state_fractional_coordinate,0.28458449244499207
type,0.375,state_lattice_log,0.4191279411315918
type,0.375,velocity_type_logit,0.04911290481686592
type,0.375,velocity_fractional_coordinate,0.05752020701766014
type,0.375,velocity_lattice_log,0.014518557116389275
type,0.4375,state_type_logit,0.02726871147751808
type,0.4375,state_fractional_coordinate,0.28458449244499207
type,0.4375,state_lattice_log,0.4191279411315918
type,0.4375,velocity_type_logit,0.04572338983416557
type,0.4375,velocity_fractional_coordinate,0.05544639751315117
type,0.4375,velocity_lattice_log,0.013362548314034939
type,0.5,state_type_logit,0.03009159304201603
type,0.5,state_fractional_coordinate,0.28458449244499207
type,0.5,state_lattice_log,0.4191279411315918
type,0.5,velocity_type_logit,0.042646896094083786
type,0.5,velocity_fractional_coordinate,0.053523950278759
type,0.5,velocity_lattice_log,0.01231361459940672
type,0.5625,state_type_logit,0.032715536653995514
type,0.5625,state_fractional_coordinate,0.28458449244499207
type,0.5625,state_lattice_log,0.4191279411315918
type,0.5625,velocity_type_logit,0.03985121101140976
type,0.5625,velocity_fractional_coordinate,0.05174046754837036
type,0.5625,velocity_lattice_log,0.011363205499947071
type,0.625,state_type_logit,0.035158127546310425
type,0.625,state_fractional_coordinate,0.28458449244499207
type,0.625,state_lattice_log,0.4191279411315918
type,0.625,velocity_type_logit,0.0373077318072319
type,0.625,velocity_fractional_coordinate,0.05008457973599434
type,0.625,velocity_lattice_log,0.010503222234547138
type,0.6875,state_type_logit,0.03743525967001915
type,0.6875,state_fractional_coordinate,0.28458449244499207
type,0.6875,state_lattice_log,0.4191279411315918
type,0.6875,velocity_type_logit,0.03499096259474754
type,0.6875,velocity_fractional_coordinate,0.0485459603369236
type,0.6875,velocity_lattice_log,0.009726237505674362
type,0.75,state_type_logit,0.039561256766319275
type,0.75,state_fractional_coordinate,0.28458449244499207
type,0.75,state_lattice_log,0.4191279411315918
type,0.75,velocity_type_logit,0.03287824988365173
type,0.75,velocity_fractional_coordinate,0.04711518809199333
type,0.75,velocity_lattice_log,0.009025276638567448
type,0.8125,state_type_logit,0.04154906049370766
type,0.8125,state_fractional_coordinate,0.28458449244499207
type,0.8125,state_lattice_log,0.4191279411315918
type,0.8125,velocity_type_logit,0.03094947524368763
type,0.8125,velocity_fractional_coordinate,0.04578375443816185
type,0.8125,velocity_lattice_log,0.008393893018364906
type,0.875,state_type_logit,0.04341039061546326
type,0.875,state_fractional_coordinate,0.28458449244499207
type,0.875,state_lattice_log,0.4191279411315918
type,0.875,velocity_type_logit,0.02918664924800396
type,0.875,velocity_fractional_coordinate,0.04454397037625313
type,0.875,velocity_lattice_log,0.007826115936040878
type,0.9375,state_type_logit,0.04515582695603371
type,0.9375,state_fractional_coordinate,0.28458449244499207
type,0.9375,state_lattice_log,0.4191279411315918
type,0.9375,velocity_type_logit,0.027573615312576294
type,0.9375,velocity_fractional_coordinate,0.04338879510760307
type,0.9375,velocity_lattice_log,0.00731631089001894
type,1.0,state_type_logit,0.04679498448967934
type,1.0,state_fractional_coordinate,0.28458449244499207
type,1.0,state_lattice_log,0.4191279411315918
geometry,0.0,state_type_logit,0.09166985005140305
geometry,0.0,state_fractional_coordinate,0.0
geometry,0.0,state_lattice_log,0.0
geometry,0.0,velocity_type_logit,0.3941437005996704
geometry,0.0,velocity_fractional_coordinate,0.03451323136687279
geometry,0.0,velocity_lattice_log,0.40485069155693054
geometry,0.0625,state_type_logit,0.09166985005140305
geometry,0.0625,state_fractional_coordinate,0.0021570802200585604
geometry,0.0625,state_lattice_log,0.02530316635966301
geometry,0.0625,velocity_type_logit,0.3941437005996704
geometry,0.0625,velocity_fractional_coordinate,0.03274187818169594
geometry,0.0625,velocity_lattice_log,0.40485066175460815
geometry,0.125,state_type_logit,0.09166985005140305
geometry,0.125,state_fractional_coordinate,0.004203333519399166
geometry,0.125,state_lattice_log,0.05060633644461632
geometry,0.125,velocity_type_logit,0.3941437005996704
geometry,0.125,velocity_fractional_coordinate,0.031016310676932335
geometry,0.125,velocity_lattice_log,0.40485066175460815
geometry,0.1875,state_type_logit,0.09166985005140305
geometry,0.1875,state_fractional_coordinate,0.006141507066786289
geometry,0.1875,state_lattice_log,0.07590950280427933
geometry,0.1875,velocity_type_logit,0.3941437005996704
