subspace,sample,target,retrieved_endpoint_joint,retrieved_endpoint_geometry,joint_endpoint_retrieval_correct,geometry_endpoint_retrieval_correct,decoded_composition_correct,decoded_atom_type_accuracy,type_endpoint_rms,coordinate_endpoint_rms,lattice_log_endpoint_rms,argmax_atom_types,argmax_composition_elements,argmax_composition_fractions,joint_distance_endpoint_0,joint_distance_endpoint_1,geometry_distance_endpoint_0,geometry_distance_endpoint_1
type,0,0,0,0,True,True,False,0.0,0.7567100524902344,0.0,0.0,"[58, 53, 1, 61]","[1, 53, 58, 61]","[0.25, 0.25, 0.25, 0.25]",2.0,6.0,0.0,4.0
type,1,0,0,0,True,True,False,0.0,0.6908051371574402,0.0,0.0,"[7, 5, 51, 96]","[5, 7, 51, 96]","[0.25, 0.25, 0.25, 0.25]",1.5,5.0,0.0,4.0
type,2,0,0,0,True,True,False,0.0,0.7676685452461243,0.0,0.0,"[8, 7, 50, 2]","[2, 7, 8, 50]","[0.25, 0.25, 0.25, 0.25]",1.5,5.5,0.0,4.0
type,3,0,0,0,True,True,False,0.0,0.7154951691627502,0.0,0.0,"[75, 87, 86, 87]","[75, 86, 87]","[0.25, 0.25, 0.5]",2.0,6.0,0.0,4.0
type,4,0,0,0,True,True,False,0.0,0.7201822996139526,0.0,0.0,"[108, 101, 73, 53]","[53, 73, 101, 108]","[0.25, 0.25, 0.25, 0.25]",2.0,6.0,0.0,4.0
type,5,0,0,0,True,True,False,0.0,0.7179046869277954,0.0,0.0,"[16, 26, 73, 16]","[16, 26, 73]","[0.5, 0.25, 0.25]",2.0,6.0,0.0,4.0
type,6,0,0,0,True,True,False,0.0,0.7747089862823486,0.0,0.0,"[111, 46, 74, 31]","[31, 46, 74, 111]","[0.25, 0.25, 0.25, 0.25]",2.0,6.0,0.0,4.0
type,7,0,0,0,True,True,False,0.0,0.7205674052238464,0.0,0.0,"[105, 107, 50, 68]","[50, 68, 105, 107]","[0.25, 0.25, 0.25, 0.25]",2.0,6.0,0.0,4.0
type,8,1,1,1,True,True,False,0.0,0.764315664768219,0.0,0.0,"[58, 53, 1, 61]","[1, 53, 58, 61]","[0.25, 0.25, 0.25, 0.25]",6.0,2.0,4.0,0.0
type,9,1,1,1,True,True,False,0.25,0.6923236846923828,0.0,0.0,"[7, 5, 51, 5]","[5, 7, 51]","[0.5, 0.25, 0.25]",5.5,0.5,4.0,0.0
type,10,1,1,1,True,True,False,0.0,0.772605836391449,0.0,0.0,"[8, 7, 50, 2]","[2, 7, 8, 50]","[0.25, 0.25, 0.25, 0.25]",5.5,1.5,4.0,0.0
type,11,1,1,1,True,True,False,0.0,0.7088475227355957,0.0,0.0,"[21, 87, 86, 87]","[21, 86, 87]","[0.25, 0.25, 0.5]",6.0,2.0,4.0,0.0
type,12,1,1,1,True,True,False,0.25,0.7184621691703796,0.0,0.0,"[108, 101, 73, 7]","[7, 73, 101, 108]","[0.25, 0.25, 0.25, 0.25]",5.5,1.5,4.0,0.0
type,13,1,1,1,True,True,False,0.25,0.7144120335578918,0.0,0.0,"[5, 26, 5, 16]","[5, 16, 26]","[0.5, 0.25, 0.25]",6.0,1.0,4.0,0.0
type,14,1,1,1,True,True,False,0.0,0.7724111080169678,0.0,0.0,"[111, 46, 74, 31]","[31, 46, 74, 111]","[0.25, 0.25, 0.25, 0.25]",6.0,2.0,4.0,0.0
type,15,1,1,1,True,True,False,0.0,0.7164360880851746,0.0,0.0,"[105, 107, 50, 112]","[50, 105, 107, 112]","[0.25, 0.25, 0.25, 0.25]",6.0,2.0,4.0,0.0
geometry,0,0,0,0,True,True,True,1.0,0.0,0.31202927231788635,1.405637502670288,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",5.159641055571527,7.191801356749086,5.159641055571527,6.191801356749086
geometry,1,0,0,0,True,True,True,1.0,0.0,0.32520052790641785,1.1588295698165894,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",4.719438818063466,5.7304301511344455,4.719438818063466,4.7304301511344455
geometry,2,0,0,0,True,True,True,1.0,0.0,0.2778490483760834,1.133406162261963,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",6.537253816853378,8.280954023871987,6.537253816853378,7.2809540238719865
geometry,3,0,0,0,True,True,True,1.0,0.0,0.2106238156557083,0.9227668046951294,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",5.657009789260792,8.940591323677735,5.657009789260792,7.940591323677735
geometry,4,0,0,1,True,False,True,1.0,0.0,0.3115372657775879,1.1006664037704468,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",3.7953707294981607,4.711183572230301,3.7953707294981607,3.7111835722303006
geometry,5,0,0,0,True,True,True,1.0,0.0,0.2433049976825714,1.2195029258728027,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",7.145161264263125,9.17536985618025,7.145161264263125,8.17536985618025
geometry,6,0,0,0,True,True,True,1.0,0.0,0.3321187198162079,1.3853129148483276,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",5.5088103527350825,7.161380807697409,5.5088103527350825,6.161380807697409
geometry,7,0,0,1,True,False,True,1.0,0.0,0.3050285279750824,0.5853986144065857,"[49, 49, 7, 7]","[7, 49]","[0.5, 0.5]",4.747168695633256,5.60777976072266,4.747168695633256,4.60777976072266
geometry,8,1,1,0,True,False,True,1.0,0.0,0.3202130198478699,1.4700500965118408,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",6.836740736217582,6.445237562029325,5.836740736217581,6.445237562029325
geometry,9,1,1,1,True,True,True,1.0,0.0,0.30637431144714355,1.227889895439148,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",7.390192082543431,5.191558907882371,6.390192082543431,5.191558907882371
geometry,10,1,1,0,True,False,True,1.0,0.0,0.25887635350227356,1.145228385925293,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",6.310280246157,5.873374586958838,5.310280246157,5.873374586958838
geometry,11,1,0,0,False,False,True,1.0,0.0,0.32176515460014343,0.9441670775413513,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",5.552358362944449,5.838867886623979,4.552358362944449,5.838867886623979
geometry,12,1,1,1,True,True,True,1.0,0.0,0.3220036029815674,1.0428885221481323,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",6.339724647120993,2.6078400182559722,5.339724647120993,2.6078400182559722
geometry,13,1,1,0,True,False,True,1.0,0.0,0.28725478053092957,1.2804592847824097,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",6.848657133093122,6.768056294109014,5.848657133093122,6.768056294109014
geometry,14,1,1,0,True,False,True,1.0,0.0,0.29086539149284363,1.4172359704971313,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",4.694966736623861,4.560646370544076,3.694966736623861,4.560646370544076
geometry,15,1,1,1,True,True,True,1.0,0.0,0.26403531432151794,0.6833233833312988,"[5, 5, 7, 7]","[5, 7]","[0.5, 0.5]",6.0420970275178725,4.379712945396748,5.0420970275178725,4.379712945396748
joint,0,0,0,0,True,True,False,0.0,0.8812922835350037,0.31162869930267334,1.3338277339935303,"[87, 76, 91, 61]","[61, 76, 87, 91]","[0.25, 0.25, 0.25, 0.25]",7.287130894213422,8.100213805426057,5.287130894213423,6.100213805426055
joint,1,0,1,1,False,False,False,0.0,0.8189839124679565,0.32496538758277893,1.184346079826355,"[27, 74, 65, 64]","[27, 64, 65, 74]","[0.25, 0.25, 0.25, 0.25]",7.772524588109678,6.58272766485939,5.772524588109678,4.58272766485939
joint,2,0,0,0,True,True,False,0.25,0.871407151222229,0.2785912752151489,1.134994387626648,"[49, 7, 50, 33]","[7, 33, 49, 50]","[0.25, 0.25, 0.25, 0.25]",6.303833145009991,7.346400943345954,5.303833145009991,5.846400943345954
joint,3,0,0,0,True,True,False,0.0,0.8131809234619141,0.2108476310968399,0.8375662565231323,"[70, 116, 86, 32]","[32, 70, 86, 116]","[0.25, 0.25, 0.25, 0.25]",7.454443618997558,8.948756857633082,5.454443618997558,6.948756857633082
joint,4,0,1,1,False,False,False,0.0,0.8548317551612854,0.3090803325176239,1.167743444442749,"[108, 101, 73, 76]","[73, 76, 101, 108]","[0.25, 0.25, 0.25, 0.25]",6.338020079406679,5.1443251052540475,4.33802007940668,3.144325105254048
joint,5,0,0,0,True,True,False,0.0,0.7995861172676086,0.23887532949447632,1.1529624462127686,"[5, 74, 65, 79]","[5, 65, 74, 79]","[0.25, 0.25, 0.25, 0.25]",8.278631384929435,8.730450269382777,6.278631384929435,7.230450269382777
joint,6,0,0,0,True,True,False,0.0,0.9376032948493958,0.33290743827819824,1.2580701112747192,"[111, 0, 108, 3]","[0, 3, 108, 111]","[0.25, 0.25, 0.25, 0.25]",6.245062700017721,7.179102079748267,4.245062700017721,5.179102079748266
joint,7,0,1,1,False,False,False,0.0,0.885007917881012,0.31035083532333374,0.5832076668739319,"[117, 62, 101, 68]","[62, 68, 101, 117]","[0.25, 0.25, 0.25, 0.25]",6.500529772960383,5.950009834825825,4.500529772960383,3.9500098348258255
