repeat,material_id,identity_periodic_cost,all_atom_ot_periodic_cost,typewise_ot_periodic_cost,typewise_ot_not_worse_than_identity,no_drift_mean_abs_max,translation_quotient_terminal_rms,simplex_nonnegative,simplex_unit_sum_max_error,simplex_tangent_sum_max_error
0,JVASP-1180,0.15270231664180756,0.10505199432373047,0.15270231664180756,True,7.450580596923828e-09,2.5809567816281742e-08,True,1.1920928955078125e-07,1.9073486328125e-06
0,JVASP-22673,0.3097797632217407,0.16808775067329407,0.16808775067329407,True,0.0,2.2761900808632163e-08,True,0.0,1.9073486328125e-06
1,JVASP-1180,0.4185004234313965,0.13410910964012146,0.13410910964012146,True,0.0,3.21901900690591e-08,True,1.1920928955078125e-07,1.9073486328125e-06
1,JVASP-22673,0.2908223867416382,0.15929527580738068,0.21626196801662445,True,1.4901161193847656e-08,2.2351741790771484e-08,True,5.960464477539063e-08,2.86102294921875e-06
2,JVASP-1180,0.29026150703430176,0.1260167956352234,0.21379747986793518,True,0.0,3.21901900690591e-08,True,0.0,1.430511474609375e-06
2,JVASP-22673,0.11726026982069016,0.08934839069843292,0.11726026982069016,True,5.587935447692871e-09,1.609509503452955e-08,True,5.960464477539063e-08,1.7881393432617188e-06
3,JVASP-1180,0.24634090065956116,0.10404431074857712,0.10404431074857712,True,1.4901161193847656e-08,1.9237317516740404e-08,True,0.0,1.6689300537109375e-06
3,JVASP-22673,0.25953054428100586,0.12962216138839722,0.15678048133850098,True,0.0,3.4412757088375656e-08,True,5.960464477539063e-08,1.430511474609375e-06
4,JVASP-1180,0.24306394159793854,0.16116929054260254,0.20679518580436707,True,7.450580596923828e-09,3.700371919990175e-08,True,5.960464477539063e-08,1.9073486328125e-06
4,JVASP-22673,0.2797966003417969,0.10042973607778549,0.25524458289146423,True,1.4901161193847656e-08,2.9802322387695312e-08,True,0.0,1.1920928955078125e-06
5,JVASP-1180,0.19600343704223633,0.1498662680387497,0.19063203036785126,True,7.450580596923828e-09,2.3950265770622536e-08,True,0.0,2.384185791015625e-06
5,JVASP-22673,0.12743481993675232,0.05370591953396797,0.12743481993675232,True,7.450580596923828e-09,2.7205674157926296e-08,True,5.960464477539063e-08,1.9073486328125e-06
