subspace,sample,target,retrieved_endpoint_joint,retrieved_endpoint_geometry,joint_endpoint_retrieval_correct,geometry_endpoint_retrieval_correct,decoded_composition_correct,decoded_atom_type_accuracy,type_endpoint_rms,coordinate_endpoint_rms,lattice_log_endpoint_rms,argmax_atom_types,argmax_composition_elements,argmax_composition_fractions,joint_distance_endpoint_0,joint_distance_endpoint_1,geometry_distance_endpoint_0,geometry_distance_endpoint_1
type_riemannian_simplex_endpoint_nll,0,0,0,0,True,True,False,0.75,0.05618351325392723,0.0,0.0,"[49, 7, 7, 7]","[7, 49]","[0.75, 0.25]",0.5,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,1,0,0,0,True,True,False,0.25,0.07189855724573135,0.0,0.0,"[7, 7, 49, 7]","[7, 49]","[0.75, 0.25]",0.5,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,2,0,0,0,True,True,False,0.75,0.057587794959545135,0.0,0.0,"[49, 49, 49, 7]","[7, 49]","[0.25, 0.75]",0.5,5.5,0.0,4.0
type_riemannian_simplex_endpoint_nll,3,0,0,0,True,True,False,0.25,0.0786440297961235,0.0,0.0,"[7, 7, 7, 49]","[7, 49]","[0.75, 0.25]",0.5,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,4,0,0,0,True,True,True,0.5,0.0637994036078453,0.0,0.0,"[7, 49, 7, 49]","[7, 49]","[0.5, 0.5]",0.0,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,5,0,0,0,True,True,False,0.5,0.06451980024576187,0.0,0.0,"[7, 7, 7, 7]",[7],[1.0],1.0,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,6,0,0,0,True,True,False,0.75,0.06875976175069809,0.0,0.0,"[7, 49, 7, 7]","[7, 49]","[0.75, 0.25]",0.5,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,7,0,0,0,True,True,False,0.75,0.06379429250955582,0.0,0.0,"[49, 7, 7, 7]","[7, 49]","[0.75, 0.25]",0.5,5.0,0.0,4.0
type_riemannian_simplex_endpoint_nll,8,1,1,1,True,True,True,0.5,0.06720422953367233,0.0,0.0,"[7, 5, 7, 5]","[5, 7]","[0.5, 0.5]",5.0,0.0,4.0,0.0
type_riemannian_simplex_endpoint_nll,9,1,1,1,True,True,False,0.25,0.07176175713539124,0.0,0.0,"[7, 7, 5, 7]","[5, 7]","[0.25, 0.75]",5.0,0.5,4.0,0.0
