time,pairwise_state_rms,pairwise_decoded_difference,left_mask_fraction,right_mask_fraction
0.0,0.0,0.0,1.0,1.0
0.0625,0.0,0.0,1.0,1.0
0.125,0.06454972177743912,0.25,0.75,0.75
0.1875,0.06454972177743912,0.25,0.75,0.75
0.25,0.06454972177743912,0.25,0.75,0.75
0.3125,0.06454972177743912,0.25,0.75,0.75
0.375,0.06454972177743912,0.25,0.75,0.75
0.4375,0.06454972177743912,0.25,0.75,0.75
0.5,0.06454972177743912,0.25,0.75,0.75
0.5625,0.06454972177743912,0.25,0.75,0.75
0.625,0.09128709882497787,0.5,0.25,0.25
0.6875,0.09128709882497787,0.5,0.25,0.25
0.75,0.11180340498685837,0.75,0.0,0.0
0.8125,0.11180340498685837,0.75,0.0,0.0
0.875,0.11180340498685837,0.75,0.0,0.0
0.9375,0.11180340498685837,0.75,0.0,0.0
1.0,0.11180340498685837,0.75,0.0,0.0
