graph,decoded_atom_type_accuracy,terminal_mask_count,composition_conserved
0,1.0,0,True
1,1.0,0,True
2,1.0,0,True
3,1.0,0,True
4,1.0,0,True
5,1.0,0,True
6,1.0,0,True
7,1.0,0,True
8,1.0,0,True
9,1.0,0,True
10,1.0,0,True
11,1.0,0,True
12,1.0,0,True
13,1.0,0,True
14,1.0,0,True
15,1.0,0,True
16,1.0,0,True
17,1.0,0,True
18,1.0,0,True
19,1.0,0,True
20,1.0,0,True
21,1.0,0,True
22,1.0,0,True
23,1.0,0,True
24,1.0,0,True
25,1.0,0,True
26,1.0,0,True
27,1.0,0,True
28,1.0,0,True
29,1.0,0,True
30,1.0,0,True
31,1.0,0,True
32,1.0,0,True
33,1.0,0,True
34,1.0,0,True
35,1.0,0,True
36,1.0,0,True
37,1.0,0,True
38,1.0,0,True
39,1.0,0,True
40,1.0,0,True
41,1.0,0,True
42,1.0,0,True
43,1.0,0,True
44,1.0,0,True
45,1.0,0,True
46,1.0,0,True
47,1.0,0,True
48,1.0,0,True
49,1.0,0,True
50,1.0,0,True
51,1.0,0,True
52,1.0,0,True
53,1.0,0,True
54,1.0,0,True
55,1.0,0,True
56,1.0,0,True
57,1.0,0,True
58,1.0,0,True
59,1.0,0,True
60,1.0,0,True
61,1.0,0,True
62,1.0,0,True
63,1.0,0,True
