source,time_index,time,lift_cost,second_lift_cost,lift_cost_margin,permutation_count,permutation_cost,second_permutation_cost,permutation_cost_margin,component_cut_margin_fractional,lift_signature,permutation_signature,translation_x,translation_y,translation_z,temporal_lift_change,temporal_permutation_change,temporal_path_consistency_jump_rms,perturbation_lift_change,perturbation_permutation_change,perturbation_target_displacement_jump_rms,confirmed_branch_event
0,0,0.0,6.718240737915039,7.714521408081055,0.9962806701660156,1,6.718240737915039,inf,inf,0.0039910078048706055,"0,0,0,-1,0,-1,-1,0,-1,0,0,-1","0,1,2,3",0.7485265731811523,0.04733447730541229,0.7400995492935181,False,False,0.0,False,False,0.00010000124166253954,False
1,0,0.0,11.580543518066406,11.836780548095703,0.2562370300292969,1,11.580543518066406,inf,inf,0.00659593939781189,"0,0,0,-1,0,0,-1,-1,0,-1,-1,-1","0,1,2,3",0.9102283716201782,0.7608115077018738,0.4143655300140381,False,False,0.0,False,False,9.999782196246088e-05,False
2,0,0.0,6.399097442626953,6.511295795440674,0.1121983528137207,1,6.399097442626953,inf,inf,0.04043233394622803,"0,0,0,0,-1,-1,0,-1,-1,0,-1,-1","0,1,2,3",0.1470034420490265,0.956887423992157,0.7101279497146606,False,False,0.0,False,False,0.00010002133785746992,False
3,0,0.0,13.602641105651855,13.800603866577148,0.19796276092529297,1,13.602641105651855,inf,inf,0.09291976690292358,"0,0,0,0,0,-1,-2,0,-1,-1,0,-2","0,1,2,3",0.9629331827163696,0.22651678323745728,0.050987958908081055,False,False,0.0,False,False,0.0001000029151327908,False
4,0,0.0,11.8589448928833,11.98238754272461,0.1234426498413086,1,11.8589448928833,inf,inf,0.040484338998794556,"0,0,0,-1,0,1,0,0,1,-1,0,0","0,1,2,3",0.6542437076568604,0.11884334683418274,0.5686151385307312,False,False,0.0,False,False,9.999220492318273e-05,False
5,0,0.0,7.897893905639648,11.064375877380371,3.1664819717407227,1,7.897893905639648,inf,inf,0.05461454391479492,"0,0,0,0,0,0,-1,-1,0,0,-1,0","0,1,2,3",0.6351315379142761,0.7203450202941895,0.014811016619205475,False,False,0.0,False,False,0.00010000241309171543,False
6,0,0.0,9.924532890319824,10.625473022460938,0.7009401321411133,1,9.924532890319824,inf,inf,0.01886168122291565,"0,0,0,0,0,0,0,-1,0,-1,0,0","0,1,2,3",0.4852842092514038,0.24814581871032715,0.44457975029945374,False,False,0.0,False,False,0.000100007324363105,False
7,0,0.0,8.301607131958008,10.523279190063477,2.2216720581054688,1,8.301607131958008,inf,inf,0.1148027777671814,"0,0,0,0,-1,0,0,-1,0,1,-1,-1","0,1,2,3",0.8188601732254028,0.8888440728187561,0.008989378809928894,False,False,0.0,False,False,0.00010000060865422711,False
8,0,0.0,6.582976341247559,9.422584533691406,2.8396081924438477,1,6.582976341247559,inf,inf,0.010283231735229492,"0,0,0,0,1,1,0,0,0,0,0,0","0,1,2,3",0.19701333343982697,0.7961388826370239,0.7484350204467773,False,False,0.0,False,False,9.999685426009819e-05,False
9,0,0.0,12.08418083190918,12.534658432006836,0.45047760009765625,1,12.08418083190918,inf,inf,0.02509981393814087,"0,0,0,0,0,0,-1,-1,0,0,0,0","0,1,2,3",0.5914093852043152,0.2659989595413208,0.9113662838935852,False,False,0.0,False,False,0.00010000083420891315,False
10,0,0.0,8.85006332397461,9.978370666503906,1.1283073425292969,1,8.85006332397461,inf,inf,0.021585941314697266,"0,0,0,0,0,0,-1,-1,-1,0,0,-1","0,1,2,3",0.5343661904335022,0.5048062801361084,0.5551666617393494,False,False,0.0,False,False,0.00010000764450524002,False
11,0,0.0,5.9797844886779785,6.191978931427002,0.21219444274902344,1,5.9797844886779785,inf,inf,0.15181514620780945,"0,0,0,0,-1,0,0,-1,0,0,-1,0","0,1,2,3",0.9853675365447998,0.9642665982246399,0.8953009843826294,False,False,0.0,False,False,0.00010000621841754764,False
12,0,0.0,6.032963275909424,8.702983856201172,2.670020580291748,1,6.032963275909424,inf,inf,0.034004151821136475,"0,0,0,-1,0,0,-1,0,0,0,0,-1","0,1,2,3",0.6241403818130493,0.2866254448890686,0.40150144696235657,False,False,0.0,False,False,9.999335452448577e-05,False
13,0,0.0,7.7592267990112305,8.126511573791504,0.36728477478027344,1,7.7592267990112305,inf,inf,0.019864201545715332,"0,0,0,-1,-1,0,-1,-1,0,-1,-1,0","0,1,2,3",0.14150607585906982,0.8551893830299377,0.2199690341949463,False,False,0.0,False,False,9.999492613133043e-05,False
14,0,0.0,8.59115219116211,10.443571090698242,1.8524188995361328,1,8.59115219116211,inf,inf,0.052675485610961914,"0,0,0,0,0,0,0,0,0,0,0,-1","0,1,2,3",0.4905605912208557,0.20689785480499268,0.41640913486480713,False,False,0.0,False,False,0.0001000019910861738,False
15,0,0.0,7.74838924407959,8.156159400939941,0.40777015686035156,1,7.74838924407959,inf,inf,0.022792667150497437,"0,0,0,0,0,0,0,0,0,0,0,-1","0,1,2,3",0.9319946765899658,0.08321961760520935,0.39836257696151733,False,False,0.0,False,False,9.99919866444543e-05,False
16,0,0.0,12.200660705566406,12.952401161193848,0.7517404556274414,1,12.200660705566406,inf,inf,0.05753588676452637,"0,0,0,0,0,0,-1,0,0,0,-1,-1","0,1,2,3",0.16820427775382996,0.40598905086517334,0.4662339687347412,False,False,0.0,False,False,0.000100010096502956,False
17,0,0.0,11.28171157836914,11.495457649230957,0.2137460708618164,1,11.28171157836914,inf,inf,0.018864154815673828,"0,0,0,-1,0,0,-1,0,0,0,0,-1","0,1,2,3",0.7817469835281372,0.22387313842773438,0.21772807836532593,False,False,0.0,False,False,0.00010000413749366999,False
18,0,0.0,5.643206596374512,9.539261817932129,3.896055221557617,1,5.643206596374512,inf,inf,0.00783395767211914,"0,0,0,-1,-1,0,-1,-1,0,-1,-1,0","0,1,2,3",0.8162644505500793,0.7721354961395264,0.1415754109621048,False,False,0.0,False,False,0.00010000514885177836,False
19,0,0.0,12.458259582519531,13.607499122619629,1.1492395401000977,1,12.458259582519531,inf,inf,0.008875459432601929,"0,0,0,0,0,0,0,0,0,0,0,-1","0,1,2,3",0.2701370120048523,0.033259034156799316,0.35328319668769836,False,False,0.0,False,False,9.999662870541215e-05,False
20,0,0.0,12.054351806640625,12.838848114013672,0.7844963073730469,1,12.054351806640625,inf,inf,0.025703400373458862,"0,0,0,0,0,0,-1,0,0,0,-1,0","0,1,2,3",0.5326443910598755,0.5024020671844482,0.41443681716918945,False,False,0.0,False,False,9.99963449430652e-05,False
21,0,0.0,8.448204040527344,10.38951301574707,1.9413089752197266,1,8.448204040527344,inf,inf,0.03740417957305908,"0,0,0,0,-1,1,-1,-1,0,-1,-1,0","0,1,2,3",0.775458574295044,0.8868071436882019,0.7723777294158936,False,False,0.0,False,False,9.999251778936014e-05,False
22,0,0.0,10.089007377624512,11.103616714477539,1.0146093368530273,1,10.089007377624512,inf,inf,0.028754234313964844,"0,0,0,0,0,0,-1,0,0,0,0,-1","0,1,2,3",0.27627718448638916,0.9259963631629944,0.30147022008895874,False,False,0.0,False,False,9.999293979490176e-05,False
23,0,0.0,5.93418025970459,11.290645599365234,5.3564653396606445,1,5.93418025970459,inf,inf,0.0028809309005737305,"0,0,0,0,1,0,-1,0,0,0,0,-1","0,1,2,3",0.32215777039527893,0.8451176285743713,0.37817683815956116,False,False,0.0,False,False,0.00010000102338381112,False
