step,training_velocity_mse,training_map_mse
1,0.04429355263710022,0.015262428671121597
100,0.036734648048877716,0.010429281741380692
200,0.032124243676662445,0.010940257459878922
300,0.030071189627051353,0.0104445181787014
400,0.030194833874702454,0.011257685720920563
500,0.030922409147024155,0.011202886700630188
600,0.02665477991104126,0.008143875747919083
700,0.026557674631476402,0.009785177186131477
800,0.02545762062072754,0.01009443774819374
900,0.02393169514834881,0.008210094645619392
1000,0.02195069193840027,0.00907379575073719
1100,0.019629843533039093,0.005149185191839933
1200,0.02068406343460083,0.005505369510501623
1300,0.016015850007534027,0.0036909140180796385
1400,0.015207248739898205,0.004580190870910883
1500,0.014147676527500153,0.006239666603505611
1600,0.013007361441850662,0.0038365796208381653
1700,0.011388756334781647,0.0027319802902638912
1800,0.011517888866364956,0.0038463473320007324
1900,0.008768360130488873,0.002603545319288969
2000,0.008379862643778324,0.0027417063247412443
2100,0.009836765006184578,0.00302080437541008
2200,0.00807151198387146,0.0019334284588694572
2300,0.0070848725736141205,0.002264405367895961
2400,0.00588618777692318,0.0016194237396121025
2500,0.004947599954903126,0.0014861279632896185
2600,0.004563052207231522,0.0020073018968105316
2700,0.00521473865956068,0.0019772853702306747
2800,0.0049040550366044044,0.0013028273824602365
2900,0.0046651591546833515,0.0011597886914387345
3000,0.004002423956990242,0.000947331718634814
3100,0.004690840840339661,0.0017895810306072235
3200,0.0036019454710185528,0.001018543029204011
3300,0.003827029839158058,0.001284244004637003
3400,0.0037472061812877655,0.001123815425671637
3500,0.004427483305335045,0.0011543681612238288
3600,0.0037135067395865917,0.0010419291211292148
3700,0.0032064924016594887,0.0009695544722490013
3800,0.0038771852850914,0.0008916811784729362
3900,0.0026180546265095472,0.0010084572713822126
4000,0.004620650317519903,0.0010658374521881342
4100,0.0035843930672854185,0.0012071658857166767
4200,0.002872208599001169,0.0011143878800794482
4300,0.002706973347812891,0.0009536235011182725
4400,0.002200154587626457,0.0005494224024005234
4500,0.002570548327639699,0.0005045847501605749
4600,0.0027627861127257347,0.0007238207617774606
4700,0.0022077893372625113,0.0006541678449138999
4800,0.003062838688492775,0.0006980967591516674
4900,0.003000522032380104,0.0006920509040355682
5000,0.0020939339883625507,0.000661785714328289
