start,end,flow_map_mse
0.0,0.03125,3.585556260077283e-05
0.03125,0.0625,2.5991303118644282e-05
0.0625,0.09375,2.1360210666898638e-05
0.09375,0.125,1.824378705350682e-05
0.125,0.15625,1.9724284356925637e-05
0.15625,0.1875,1.860367410699837e-05
0.1875,0.21875,1.9460949260974303e-05
0.21875,0.25,2.1006502720410936e-05
0.25,0.28125,2.1493751773959957e-05
0.28125,0.3125,2.3281445464817807e-05
0.3125,0.34375,2.5743895093910396e-05
0.34375,0.375,2.3293345293495804e-05
0.375,0.40625,2.224086711066775e-05
0.40625,0.4375,2.246110307169147e-05
0.4375,0.46875,2.0954146748408675e-05
0.46875,0.5,2.2123815142549574e-05
0.5,0.53125,2.4593076886958443e-05
0.53125,0.5625,2.7027735995943658e-05
0.5625,0.59375,2.822484020725824e-05
0.59375,0.625,2.7096959456685e-05
0.625,0.65625,3.074283813475631e-05
0.65625,0.6875,2.9556638764915988e-05
0.6875,0.71875,3.329866740386933e-05
0.71875,0.75,4.2395924538141116e-05
0.75,0.78125,4.29605643148534e-05
0.78125,0.8125,5.95134733885061e-05
0.8125,0.84375,6.0220219893381e-05
0.84375,0.875,4.578124935505912e-05
0.875,0.90625,4.33914246968925e-05
0.90625,0.9375,3.3234478905797005e-05
0.9375,0.96875,5.3735955589218065e-05
0.96875,1.0,0.00022204981360118836
