start,end,flow_map_mse
0.0,0.03125,5.930318729951978e-05
0.03125,0.0625,4.087093839189038e-05
0.0625,0.09375,3.6897377867717296e-05
0.09375,0.125,4.002614878118038e-05
0.125,0.15625,4.1984469135059044e-05
0.15625,0.1875,4.350336894276552e-05
0.1875,0.21875,4.2478110117372125e-05
0.21875,0.25,4.484069359023124e-05
0.25,0.28125,5.0661805289564654e-05
0.28125,0.3125,4.756195266963914e-05
0.3125,0.34375,4.162084587733261e-05
0.34375,0.375,4.1289527871413156e-05
0.375,0.40625,3.95809838664718e-05
0.40625,0.4375,3.86600149795413e-05
0.4375,0.46875,3.919954178854823e-05
0.46875,0.5,3.667877899715677e-05
0.5,0.53125,3.7225116102490574e-05
0.53125,0.5625,2.8638653020607308e-05
0.5625,0.59375,2.700040931813419e-05
0.59375,0.625,2.6079909730469808e-05
0.625,0.65625,2.7331014280207455e-05
0.65625,0.6875,2.9221357181086205e-05
0.6875,0.71875,3.317011578474194e-05
0.71875,0.75,3.563980862963945e-05
0.75,0.78125,3.5194942029193044e-05
0.78125,0.8125,2.9028929930063896e-05
0.8125,0.84375,3.0839128157822415e-05
0.84375,0.875,3.138625470455736e-05
0.875,0.90625,3.584135265555233e-05
0.90625,0.9375,3.8498532376252115e-05
0.9375,0.96875,3.686884883791208e-05
0.96875,1.0,8.401414379477501e-05
