panel,group,value,graphs,decisions,model_nll,empirical_nll,uniform_nll,model_minus_empirical
calibration,node_count_N,2,94,181,3.9819889905044388,3.918756358779114,4.0358327227549315,0.06323263172532481
calibration,node_count_N,4,5523,17731,3.3739968401458516,3.6643868029816584,3.958158611367373,-0.290389962835807
calibration,node_count_N,5,1520,5270,3.337765798314812,3.722632252250338,4.116067745835507,-0.38486645393552577
calibration,node_count_N,6,1440,4361,3.4550854067338004,3.7139885785350324,4.197708987413003,-0.2589031718012328
calibration,node_count_N,7,867,2825,3.3923839804873004,3.6418992566053237,4.140757547762231,-0.2495152761180231
calibration,node_count_N,8,2110,6086,3.592793222535138,3.8378070389223433,4.172340164957473,-0.2450138163872056
calibration,node_count_N,9,1083,3508,3.3861730816426814,3.734258940811619,4.23983645928708,-0.34808585916893736
calibration,node_count_N,10,4122,14537,3.212348464270865,3.671063242422789,4.212876786395639,-0.45871477815192385
calibration,node_count_N,11,1143,3756,3.3329166236618204,3.6354583728971814,4.246236898879106,-0.3025417492353616
calibration,node_count_N,12,4384,16279,3.1027284315138206,3.6204742295085794,4.221290022232901,-0.5177457979947592
calibration,node_count_N,13,161,472,3.416540601243407,3.3983820023091025,4.2848935321842925,0.018158598934304673
calibration,node_count_N,14,589,1904,3.374151618830359,3.6331008785026744,4.245312265840169,-0.25894925967231547
calibration,node_count_N,15,489,1829,2.8655555368675567,3.1370017936507772,4.192279357135511,-0.27144625678322
calibration,node_count_N,16,1234,4292,3.0153745183858325,3.566288616342846,4.262204975604587,-0.550914097957014
calibration,node_count_N,18,587,1848,3.3425533485102963,3.5806060280936514,4.285524787764557,-0.23805267958335496
calibration,node_count_N,19,118,350,3.1293999288763317,3.2727279566546517,4.202832858736676,-0.1433280277783198
calibration,node_count_N,20,1432,5250,3.137164682076091,3.531638634015471,4.228426221657079,-0.3944739519393798
calibration,species_support_S,1,32,32,4.598712310194969,4.255128270102781,4.330733340286331,0.34358404009218807
calibration,species_support_S,2,1644,3288,3.973245560597184,4.211497163565353,4.256737812514398,-0.238251602968168
calibration,species_support_S,3,13809,41427,3.5737336830587374,3.878313700171629,4.198770108155344,-0.30458001711289256
calibration,species_support_S,4,11379,45516,2.9531496609267727,3.3997110937168395,4.119432097823518,-0.4465614327900665
calibration,species_support_S,5,48,240,2.675491988720993,3.165594644904629,4.029884953196835,-0.4901026561836352
calibration,partition_lambda,22,87,174,3.9501765479986695,3.8872599904131437,4.023968904808267,0.06291655758552535
calibration,partition_lambda,24,313,626,4.005346114071794,4.197266237507249,4.3241107269113215,-0.19192012343545425
calibration,partition_lambda,25,54,108,4.028772523005803,4.545126478432162,4.324110726911319,-0.516353955426359
calibration,partition_lambda,26,191,382,3.980413753012712,4.091613591845392,4.32411072691132,-0.1111998388326805
calibration,partition_lambda,28,39,78,3.83933794651276,3.9397546267947736,4.32411072691132,-0.10041668028201309
calibration,partition_lambda,29,45,90,4.1102882968054875,3.931712614770581,4.324110726911321,0.17857568203490765
calibration,partition_lambda,44,190,380,3.8707018994971327,4.066962975601918,4.047085354103273,-0.19626107610478477
calibration,partition_lambda,48,185,370,4.106032825805046,4.4423728431385285,4.324110726911321,-0.336340017333483
calibration,partition_lambda,50,31,62,4.006509557847054,4.270035183612956,4.3241107269113215,-0.2635256257659026
calibration,partition_lambda,52,12,24,4.171249846617381,4.030144143017579,4.324110726911321,0.14110570359980232
calibration,partition_lambda,55,26,52,3.894723818852351,4.051531483478973,4.324110726911321,-0.1568076646266216
calibration,partition_lambda,66,27,54,3.828863400000113,4.023295986258933,4.038715892081807,-0.19443258625882012
calibration,partition_lambda,67,42,84,4.079246976545879,4.500551284754817,4.324110726911321,-0.42130430820893755
calibration,partition_lambda,68,47,94,3.749087206860806,4.273595943464171,4.324110726911321,-0.5245087366033651
calibration,partition_lambda,70,10,20,3.682945132255554,4.083530129012848,4.324110726911321,-0.40058499675729287
calibration,partition_lambda,72,13,26,3.5382849161441507,4.140776426626794,4.32411072691132,-0.6024915104826433
calibration,partition_lambda,76,11,22,3.4659967097369107,3.928839334308375,4.324110726911321,-0.46284262457146463
calibration,partition_lambda,88,73,146,3.785705757467714,4.084997362961317,4.09537612388524,-0.2992916054936036
calibration,partition_lambda,89,31,62,4.007157145007964,4.161582134462624,4.3241107269113215,-0.15442498945465918
calibration,partition_lambda,96,41,82,4.035042515615138,4.779866463452017,4.324110726911321,-0.7448239478368787
calibration,partition_lambda,111,10,20,4.0035228610038756,5.260212283496757,4.324110726911321,-1.2566894224928808
calibration,partition_lambda,132,25,50,4.1523619604110715,4.343038126576706,4.180839520872012,-0.19067616616563454
calibration,partition_lambda,134,17,34,4.016037814757404,4.447739306044756,4.324110726911321,-0.43170149128735213
calibration,partition_lambda,136,36,72,3.98117368751102,4.634563753246084,4.324110726911321,-0.653390065735064
calibration,partition_lambda,176,21,42,3.8764432157788957,4.693920245941996,4.137108549666498,-0.8174770301631001
calibration,partition_lambda,178,11,22,3.93849655714902,4.31493913406249,4.324110726911321,-0.37644257691346966
calibration,partition_lambda,464,3331,9993,3.6216217888364275,3.8850071208361734,4.114585210600729,-0.2633853319997465
