element_i_token,element_j_token,calibration_reference_graphs,calibration_sampled_graphs,test_reference_graphs,test_sampled_graphs
0,2,57,78,62,69
0,3,8,7,8,10
0,4,15,15,14,12
0,5,16,20,22,16
0,6,27,20,27,24
0,7,43,67,52,55
0,8,33,15,36,25
0,10,49,50,44,49
0,11,32,30,40,37
0,12,26,22,29,34
0,13,18,26,27,21
0,14,30,27,26,25
0,15,20,28,13,16
0,16,35,18,41,23
0,18,48,64,51,62
0,19,53,40,31,31
0,20,32,37,33,25
0,21,26,36,41,37
0,22,24,16,27,14
0,23,16,20,27,22
0,24,26,47,29,47
0,25,37,34,40,35
0,26,47,46,52,50
0,27,65,66,83,75
0,28,45,51,41,46
0,29,30,41,45,26
0,30,39,35,41,34
0,31,32,28,32,29
0,32,26,26,24,22
0,33,17,28,14,13
0,34,18,17,20,17
0,36,37,44,40,40
0,37,48,47,42,44
0,38,15,26,18,20
0,39,22,25,30,28
0,40,13,9,22,12
0,41,10,11,5,10
0,43,16,24,25,33
0,44,79,88,97,84
0,45,87,93,95,89
0,46,25,21,24,20
0,47,24,34,30,27
0,48,28,29,28,28
0,49,22,32,37,18
0,50,18,20,17,16
0,51,11,15,8,4
0,52,23,16,26,16
0,54,40,38,38,37
0,55,56,49,53,52
0,56,44,36,42,34
0,57,22,44,35,46
0,58,41,32,32,32
0,59,22,27,25,26
0,61,22,20,14,17
0,62,4,3,8,9
0,64,18,12,19,14
0,65,16,19,13,12
0,66,13,21,17,20
0,67,8,13,7,17
0,68,12,16,19,13
0,71,22,20,22,18
0,72,9,11,13,14
0,74,5,3,7,11
0,76,31,32,35,46
0,77,58,41,38,46
0,78,24,28,24,26
0,79,20,27,18,33
0,80,23,24,27,28
0,81,12,14,29,17
0,82,23,29,17,31
2,3,20,23,15,13
2,4,20,22,15,20
2,5,20,16,15,13
2,6,25,44,34,32
2,7,176,202,180,187
2,8,119,102,92,111
2,10,101,134,78,108
2,11,150,168,145,198
2,12,101,118,102,113
2,13,51,56,55,61
2,14,40,43,37,44
2,15,105,94,110,109
2,16,72,113,82,87
2,18,70,91,85,70
2,19,143,110,128,126
2,20,77,87,69,77
2,21,32,35,31,41
2,22,25,30,23,28
2,23,29,27,26,16
2,24,49,51,54,58
2,25,29,26,34,36
2,26,29,39,25,39
2,27,84,101,104,68
2,28,96,129,124,128
2,29,155,158,172,173
2,30,146,150,154,164
2,31,76,111,79,93
2,32,70,50,56,53
2,33,105,100,100,100
2,34,56,68,67,61
2,36,61,66,65,79
2,37,116,144,120,138
2,38,76,100,96,98
2,39,38,48,51,46
2,40,18,19,21,21
2,41,8,15,7,15
2,43,35,39,24,43
2,44,118,108,96,125
2,45,166,167,147,163
2,46,185,176,177,179
2,47,174,234,173,186
2,48,171,201,172,212
2,49,133,134,135,132
2,50,59,63,63,62
2,51,63,93,85,86
2,52,62,58,51,54
2,54,56,78,51,68
2,55,124,97,105,94
2,56,102,102,103,122
2,57,57,91,71,101
2,58,83,81,96,93
2,59,99,111,84,105
2,61,82,83,88,84
2,62,14,22,20,18
2,64,93,94,80,89
2,65,84,81,75,76
2,66,61,95,72,90
2,67,68,78,75,77
2,68,72,88,71,75
2,70,16,30,37,23
2,71,30,35,28,22
2,72,14,15,16,15
2,73,11,9,8,7
2,74,4,10,12,7
2,75,24,17,19,23
2,76,57,70,63,72
2,77,100,119,106,124
2,78,140,153,119,154
2,79,172,157,145,142
2,80,158,161,161,160
2,81,100,102,122,78
2,82,72,87,69,83
3,4,11,9,12,12
3,6,7,7,5,8
3,7,11,7,18,12
3,8,8,11,18,15
3,10,7,7,9,11
3,11,9,7,5,17
3,12,24,20,23,18
3,13,33,36,40,37
3,14,7,5,10,6
3,15,7,4,4,5
3,16,13,8,7,8
3,18,11,9,16,5
3,19,10,8,11,10
3,20,22,14,13,16
3,21,24,20,11,24
3,22,14,6,7,19
3,23,6,10,8,8
3,24,11,10,8,26
3,25,14,11,16,18
3,26,27,38,20,30
3,27,26,37,29,25
3,28,18,19,24,29
3,29,18,16,26,20
3,30,21,20,21,10
3,31,11,18,22,22
3,32,9,7,3,11
3,33,9,11,9,7
3,36,7,15,11,11
3,37,9,9,10,13
3,38,10,14,17,14
3,39,9,23,11,27
3,40,12,7,18,16
3,41,3,12,3,7
3,43,17,22,31,26
3,44,24,30,29,39
3,45,26,22,37,18
3,46,4,7,4,8
3,47,9,8,8,7
3,48,3,10,6,11
3,51,5,5,6,11
3,54,8,9,10,4
3,55,10,5,8,8
3,56,13,16,9,5
3,57,8,17,16,23
3,58,10,13,12,8
3,59,8,8,9,9
3,61,14,8,11,11
3,64,9,15,12,15
3,65,9,11,10,9
3,66,10,10,14,9
3,67,12,10,9,8
3,68,8,7,15,11
3,71,10,9,12,12
3,72,10,15,7,15
3,73,5,6,11,6
3,75,6,16,7,16
3,76,29,36,35,28
3,77,45,58,42,50
3,78,33,14,33,15
3,80,9,11,3,8
4,5,15,11,20,13
4,6,13,11,19,10
4,7,64,44,59,37
4,8,9,5,7,7
4,10,13,10,7,11
4,11,19,17,14,10
4,12,17,14,13,15
4,13,14,16,9,11
4,15,6,6,12,11
4,16,5,4,7,3
4,18,16,9,9,6
4,19,15,10,12,18
4,20,19,26,21,17
4,21,7,11,10,10
4,22,10,8,9,15
4,23,6,10,7,9
4,24,12,13,11,12
4,25,25,20,23,25
4,26,38,32,32,21
4,27,24,32,27,36
4,28,14,17,7,9
4,29,12,5,11,9
4,30,15,8,16,17
4,31,8,10,8,14
4,33,7,8,7,7
4,36,6,1,13,3
4,37,8,15,19,6
4,38,14,13,16,19
4,39,6,11,7,16
4,40,9,8,9,12
4,41,9,6,5,4
4,43,36,35,34,34
4,44,55,41,59,44
4,45,24,20,21,21
4,46,11,5,5,1
4,47,13,9,5,4
4,48,7,6,11,10
4,49,9,7,10,11
4,54,8,4,7,8
4,55,19,7,10,6
4,56,13,12,15,12
4,57,16,14,13,19
4,58,15,11,12,11
4,59,16,7,10,14
4,61,12,12,18,10
4,64,12,13,14,9
4,65,19,13,21,10
4,66,18,14,19,13
4,67,14,15,16,18
4,68,24,11,12,17
4,69,8,3,9,1
4,70,5,2,5,1
4,71,10,6,9,5
4,72,10,9,6,8
4,75,16,13,12,13
4,76,26,25,34,19
4,77,35,32,18,23
4,80,4,6,8,4
4,81,9,10,11,6
5,6,39,26,23,25
5,7,55,59,54,46
5,8,6,5,6,8
5,10,8,5,9,8
5,11,11,22,18,21
5,12,17,22,24,24
5,13,24,31,24,22
5,14,15,12,23,11
5,15,34,12,44,24
5,16,25,20,24,9
5,18,3,3,7,7
5,19,12,13,11,12
5,20,52,54,44,41
5,21,35,27,23,22
5,22,10,10,7,9
5,23,13,3,10,7
5,24,20,14,27,19
5,25,22,15,39,12
5,26,22,31,37,30
5,27,17,24,23,23
5,28,6,16,4,18
5,29,16,21,17,15
5,30,36,15,12,23
5,31,29,22,31,20
5,32,9,11,7,12
5,33,26,13,23,14
5,34,17,8,21,14
5,36,6,6,5,8
5,37,6,7,5,9
5,38,50,47,47,45
5,39,16,24,13,19
5,40,11,12,6,10
5,43,20,27,29,32
5,44,13,13,6,22
5,46,10,19,19,19
5,47,21,15,11,17
5,48,18,21,24,25
5,49,16,16,20,18
5,50,8,9,9,9
5,51,8,13,11,9
5,52,15,13,21,14
5,54,5,7,5,9
5,56,37,49,47,37
5,57,38,43,41,35
5,58,32,30,34,27
5,59,33,34,36,41
5,61,34,40,34,44
5,64,36,35,43,48
5,65,36,38,49,30
5,66,48,40,44,34
5,67,42,35,49,32
5,68,44,34,37,32
5,69,3,5,5,2
5,70,9,7,6,11
5,71,15,20,8,8
5,74,9,5,5,2
5,75,17,20,15,13
5,76,16,17,5,9
5,78,8,11,8,9
5,79,19,13,31,12
5,80,12,20,16,19
5,81,20,9,24,16
5,82,24,12,11,17
6,7,35,19,20,33
6,8,8,6,9,10
6,10,16,14,15,14
6,11,18,26,14,19
6,12,14,11,13,14
6,13,11,19,4,16
6,14,33,26,31,25
6,15,24,19,17,16
6,16,16,5,15,9
6,18,7,9,6,13
6,19,43,40,51,50
6,20,24,31,31,30
6,21,24,24,28,26
6,22,7,14,14,21
6,23,12,15,8,17
6,24,25,20,19,16
6,25,11,19,7,13
6,26,20,26,24,20
6,27,19,20,19,24
6,28,9,13,13,10
6,29,14,10,17,12
6,30,11,16,21,17
6,31,12,20,11,15
6,32,12,15,12,12
6,34,6,8,7,7
6,36,7,10,6,7
6,37,32,23,51,35
6,38,26,36,35,41
6,39,50,35,45,47
6,40,19,23,18,22
6,41,16,18,14,10
6,43,8,15,13,11
6,44,21,22,15,19
6,45,5,21,12,20
6,46,10,7,13,6
6,47,18,13,15,20
6,48,18,18,16,23
6,49,17,18,11,15
6,50,6,7,8,10
6,52,5,13,8,13
6,54,5,6,5,4
6,55,27,28,45,37
6,56,65,61,74,59
6,57,42,62,51,50
6,58,51,33,31,39
6,59,37,35,38,36
6,61,31,25,22,26
6,62,3,3,3,1
6,64,35,28,32,34
6,65,36,24,21,23
6,66,22,23,27,28
6,67,19,19,23,28
