atomic_number_i,atomic_number_j,reference_probability,sampled_probability,absolute_error
81,82,0.005368580843422563,0.010070717168351291,0.004702136324928728
81,83,0.003480321374356696,0.006960642748713392,0.003480321374356696
82,83,0.0027768521603909807,0.005886926580028879,0.003110074419637898
48,80,0.00866377874041986,0.0059609759709726385,0.002702802769447221
3,8,0.008108408308341664,0.005701803102669481,0.0024066052056721833
35,37,0.005331556147950683,0.007627087267207227,0.002295531119256544
48,49,0.007627087267207227,0.005368580843422563,0.002258506423784664
45,57,0.00429486467473805,0.002184457032840905,0.002110407641897145
3,12,0.006257173534747677,0.00436891406568181,0.0018882594690658675
3,62,0.003628420156244215,0.0017771853826502276,0.0018512347735939873
60,81,0.0048502351068162464,0.002999000333222259,0.0018512347735939873
31,39,0.0028138768558628605,0.004628086933984968,0.0018142100781221079
52,66,0.004998333888703766,0.0032211485060535377,0.001777185382650228
46,78,0.004961309193231886,0.0032211485060535377,0.0017401606871783482
3,48,0.006442297012107075,0.004739161020400607,0.0017031359917064684
37,53,0.003924617720019253,0.005627753711725721,0.0017031359917064684
49,69,0.0032211485060535377,0.004887259802288126,0.0016661112962345886
13,39,0.003036025028694139,0.004702136324928727,0.0016661112962345881
57,62,0.006146099448332038,0.004517012847569329,0.0016290866007627088
13,58,0.0021104076418971456,0.0037024695471879745,0.001592061905290829
48,81,0.006294198230219556,0.004702136324928727,0.001592061905290829
3,80,0.00577585249361324,0.004183790588322411,0.001592061905290829
46,81,0.003961642415491132,0.0023695805102003035,0.001592061905290829
17,25,0.0013328890369876708,0.00288792624680662,0.0015550372098189493
13,31,0.003332222592469177,0.004887259802288126,0.001555037209818949
