time,q_lower,q_upper,graphs_with_modes,mean_modes,residual_power_per_mode,target_power_per_mode,normalized_residual_ratio
0.35,0.0,0.75,87,1.1264367816091954,4.284172690234422,8.334490412039775,0.5140293501382669
0.35,0.75,1.5,252,5.940476190476191,3.193922901626349,6.833362450095702,0.46740135986517406
0.35,1.5,2.5,256,24.84375,2.733974781522131,6.363245646035646,0.4296509884425756
0.35,2.5,4.0,256,97.47265625,2.709809358808305,6.220904161579439,0.43559734862083227
0.425,0.0,0.75,77,1.0649350649350648,4.031690885752311,7.323493016230596,0.5505147443736382
0.425,0.75,1.5,251,5.868525896414343,3.314145846861984,6.817757513526793,0.4861049751749813
0.425,1.5,2.5,256,24.1484375,2.9840552918982346,6.530879517709765,0.45691476680994975
0.425,2.5,4.0,256,95.375,2.8799371406360423,6.203953239725347,0.46421000116428
0.5,0.0,0.75,90,1.0333333333333334,5.007672817177243,7.111808518568675,0.7041349333439434
0.5,0.75,1.5,253,6.051383399209486,4.415831652492108,7.100051397720697,0.621943617747571
0.5,1.5,2.5,256,24.609375,3.9682327714524415,6.817914446670455,0.5820302971666559
0.5,2.5,4.0,256,97.21875,3.9264248520700145,6.647802704329053,0.5906349852279948
0.575,0.0,0.75,93,1.086021505376344,5.099030533358188,7.510433625833107,0.6789262494537484
0.575,0.75,1.5,250,6.132,4.8239036415529855,6.796117397700151,0.7098028711489629
0.575,1.5,2.5,256,25.640625,4.664762810265145,6.790590314819031,0.6869451099244324
0.575,2.5,4.0,256,100.40625,4.6444371770107935,6.730645711258505,0.6900433296083223
0.65,0.0,0.75,77,1.0,4.667238049305879,7.0407755181386875,0.6628869273394642
0.65,0.75,1.5,253,5.743083003952569,5.0607886642150754,6.38216650749878,0.7929577923529353
0.65,1.5,2.5,256,23.91796875,5.353746222786889,6.561596954268141,0.8159212246805897
0.65,2.5,4.0,256,93.92578125,5.310865993922394,6.533399700577126,0.8128793946975661
