space_group,symbol,point_group,operation_count,shape_dimension,fractional_closure_error,cartesian_closure_error,cartesian_orthogonality_error,fractional_determinant_error,fractional_metric_invariance_error,reynolds_idempotence_error,compatible_rank,expected_rank_rule_passed
1,P1,1,1,5,0.0,0.0,0.0,0.0,0.0,2.9633984425029565e-15,18,True
2,P-1,-1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0,True
3,P121,2,2,3,0.0,0.0,0.0,0.0,3.1672706124331436e-16,1.6578253680940694e-17,8,True
4,P12_11,2,2,3,0.0,0.0,0.0,0.0,0.0,1.6578253680940694e-17,8,True
5,C121,2,2,3,0.0,0.0,0.0,0.0,0.0,1.6578253680940694e-17,8,True
6,P1m1,m,2,3,0.0,0.0,0.0,0.0,0.0,1.9584810854542676e-15,10,True
7,P1c1,m,2,3,0.0,0.0,0.0,0.0,0.0,1.9584810854542676e-15,10,True
8,C1m1,m,2,3,0.0,0.0,0.0,0.0,0.0,1.9584810854542676e-15,10,True
9,C1c1,m,2,3,0.0,0.0,0.0,0.0,0.0,1.9584810854542676e-15,10,True
10,P12/m1,2/m,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0,True
11,P12_1/m1,2/m,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0,True
12,C12/m1,2/m,4,3,0.0,0.0,0.0,0.0,2.1047756906394575e-16,0.0,0,True
13,P12/c1,2/m,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0,True
14,P12_1/c1,2/m,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0,True
15,C12/c1,2/m,4,3,0.0,0.0,0.0,0.0,6.54014818154103e-16,0.0,0,True
16,P222,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
17,P222_1,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
18,P2_12_12,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
19,P2_12_121,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
20,C222_1,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
21,C222,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
22,F222,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
23,I222,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
24,I2_12_121,222,4,2,0.0,0.0,0.0,0.0,0.0,0.0,3,True
25,Pmm2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
26,Pmc2_1,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
27,Pcc2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
28,Pma2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
29,Pca2_1,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
30,Pnc2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
31,Pmn2_1,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
32,Pba2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
33,Pna2_1,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
34,Pnn2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
35,Cmm2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
36,Cmc2_1,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
37,Ccc2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
38,Amm2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
39,Aem2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
40,Ama2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
41,Aea2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
42,Fmm2,mm2,4,2,0.0,0.0,0.0,0.0,0.0,9.985871882539982e-16,5,True
