variant,seed,final_quotient_nll,material_id,target_quotient_probability,quotient_nll,proper_so3_map_quotient_accuracy,full_o3_map_quotient_accuracy,fixed_cif_site_accuracy,sampled_proper_quotient_accuracy,species_aware_periodic_match_rate,assignment_entropy,equivalent_label_probabilities,residual_group_sizes_mask_to_terminal,exact_composition_count,terminal_masks,sampling_failures,node_relabel_log_probability_error,node_relabel_score_max_abs_error
legacy_scalar_direction_baseline,1701,1.0986122886681096,JVASP-1180,0.33333333333333337,1.0986122886681096,1.0,1.0,0.0,0.3203125,0.3203125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[4, 1, 2, 2]",1,0,0,0.0,0.0
legacy_scalar_direction_baseline,1701,1.0986122886681096,JVASP-22673,0.33333333333333337,1.0986122886681096,1.0,1.0,1.0,0.3203125,0.3203125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[2, 1, 1, 1]",1,0,0,0.0,0.0
legacy_scalar_direction_baseline,1702,1.0986122886681096,JVASP-1180,0.33333333333333337,1.0986122886681096,1.0,1.0,0.0,0.328125,0.328125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[4, 1, 2, 2]",1,0,0,0.0,0.0
legacy_scalar_direction_baseline,1702,1.0986122886681096,JVASP-22673,0.33333333333333337,1.0986122886681096,1.0,1.0,1.0,0.328125,0.328125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[2, 1, 1, 1]",1,0,0,0.0,0.0
legacy_scalar_direction_baseline,1703,1.0986122886681096,JVASP-1180,0.33333333333333337,1.0986122886681096,1.0,1.0,0.0,0.3515625,0.3515625,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[4, 1, 2, 2]",1,0,0,0.0,0.0
legacy_scalar_direction_baseline,1703,1.0986122886681096,JVASP-22673,0.33333333333333337,1.0986122886681096,1.0,1.0,1.0,0.3515625,0.3515625,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[2, 1, 1, 1]",1,0,0,0.0,0.0
rbf_metric_scorer,1701,1.0986122886684129,JVASP-1180,0.33333333333333337,1.0986122886681096,1.0,1.0,0.0,0.3203125,0.3203125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[4, 1, 2, 2]",1,0,0,0.0,0.0
rbf_metric_scorer,1701,1.0986122886684129,JVASP-22673,0.33333333333333337,1.0986122886681096,1.0,1.0,1.0,0.3203125,0.3203125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[2, 1, 1, 1]",1,0,0,0.0,0.0
rbf_metric_scorer,1702,1.0986122886681096,JVASP-1180,0.33333333333333337,1.0986122886681096,1.0,1.0,0.0,0.328125,0.328125,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[4, 1, 2, 2]",1,0,0,0.0,0.0
rbf_metric_scorer,1702,1.0986122886681096,JVASP-22673,0.33333333333252485,1.0986122886705352,0.0,0.0,0.5,0.328125,0.328125,1.7917594692256296,"[0.16666666666626245, 0.16666666666626245]","[2, 1, 1, 1]",1,0,0,0.0,0.0
rbf_metric_scorer,1703,1.0986122886681855,JVASP-1180,0.33333333333333337,1.0986122886681096,1.0,1.0,0.0,0.3515625,0.3515625,1.7917594692280552,"[0.16666666666666669, 0.16666666666666669]","[4, 1, 2, 2]",1,0,0,0.0,0.0
rbf_metric_scorer,1703,1.0986122886681855,JVASP-22673,0.3333333333315144,1.0986122886735665,0.0,0.0,0.5,0.3515625,0.3515625,1.791759469222598,"[0.16666666666575716, 0.16666666666575716]","[2, 1, 1, 1]",1,0,0,0.0,0.0
rbf_vector_invariant_scorer,1701,1.4712899881780985e-07,JVASP-1180,0.9999999318059396,6.8194062736318e-08,1.0,1.0,1.0,1.0,1.0,1.1949990139814972e-06,"[1.044987965998374e-21, 0.9999999318059396]","[4, 1, 2, 2]",1,0,0,2.220445916901415e-16,0.0
rbf_vector_invariant_scorer,1701,1.4712899881780985e-07,JVASP-22673,0.9999997743938225,2.2560620291656772e-07,1.0,1.0,1.0,1.0,1.0,3.6813780859349148e-06,"[0.9999997743938225, 6.475127210973359e-23]","[2, 1, 1, 1]",1,0,0,0.0,0.0
rbf_vector_invariant_scorer,1702,5.572002375194597e-08,JVASP-1180,0.9999999971861879,2.813812068274421e-09,1.0,1.0,1.0,1.0,1.0,5.8217506647923705e-08,"[2.6573771265224486e-27, 0.9999999971861879]","[4, 1, 2, 2]",1,0,0,0.0,0.0
rbf_vector_invariant_scorer,1702,5.572002375194597e-08,JVASP-22673,0.9999998915197861,1.084802198072306e-07,1.0,1.0,1.0,1.0,1.0,1.908840874473354e-06,"[0.9999998915197861, 4.009098092278553e-25]","[2, 1, 1, 1]",1,0,0,0.0,0.0
rbf_vector_invariant_scorer,1703,2.905602769461141e-08,JVASP-1180,0.9999999976060705,2.393929496212791e-09,1.0,1.0,0.0,1.0,1.0,4.991868004378444e-08,"[0.9999999976060705, 3.668778585523355e-26]","[4, 1, 2, 2]",1,0,0,0.0,0.0
rbf_vector_invariant_scorer,1703,2.905602769461141e-08,JVASP-22673,0.9999999443765939,5.5623407664964984e-08,1.0,1.0,0.0,1.0,1.0,1.0232534872995722e-06,"[3.1782788229543204e-20, 0.9999999443765939]","[2, 1, 1, 1]",1,0,0,2.220445916901415e-16,0.0
