material_id,split,formula,atom_count,tensor_norm,response_stratum,physical_zero,target_cache_sha256
JVASP-10,train,VSe2,3,0.0,0,True,52de79eeaad4e62b072be5dbccb40335f25dde4630877ebb7a5eb1e3426a76de
JVASP-10001,train,Li2ZrTeO6,30,0.24271060526371002,2,False,a0b5f14b439b27ddc00392af65a681f3eaa1eb20d5c0e1d9aaceccb59e1fde23
JVASP-1001,train,Si,8,0.0,0,True,c1e6a35197e771064da55fe27415d05effdcf7a33b45059be2fd253f84b76e64
JVASP-10013,train,KGeNO,16,0.68392014503479,3,False,4df1698b63b8a8b17cf651f505377a40fd056162f227474019814a01f7ff78be
JVASP-1002,train,Si,8,0.0,0,True,8c43fa13c86797e340a21f87aadd9cb1fa928f8d3d4c3da78e1462a68ff224bf
JVASP-10083,train,LiAlSe2,16,0.7339960932731628,3,False,8049b73608161084b2b8dc1618dc27635e24adeea871fb3ea1febe78cde5a0cc
JVASP-10088,train,KCrP2S7,22,0.38332074880599976,2,False,879db6ef96f6c5342fc65ef1471c32da8cb73b52983d222edee5b5c1fb323eb8
JVASP-10122,train,NaP,16,0.23981338739395142,2,False,1e858b2e26d7261699eb1e764de375f2b10fb86444c45bfbdd65b32e120e6c07
JVASP-10123,train,KP,16,0.20123931765556335,2,False,320c2dd33c902be30f66dae37c6ddad753b90389a8e60d6ae7fd4279b89fdb66
JVASP-10125,train,Rb2S3,20,0.30819249153137207,2,False,c728752058df0c53b4a513c0e8ec9ad937dd56d57fc015d0255c8cbf17d697bd
JVASP-10126,train,Rb2Se3,20,0.3321959376335144,2,False,5c38f20ab82400f8ba8d90a88be71ce31bbec1f2b1e2c215e1574c0badc55cb1
JVASP-10128,train,SnF2,12,0.048934206366539,1,False,521a61239efffb4ca1e6c6df1a085315739db2bc25f1dcc6b8696a8fb4d77cdb
JVASP-10129,train,SnF2,12,0.05927000194787979,2,False,f1e0f2e383258d646045f3ccfb5b6a231121f4c22662d9da9cb64d7ee2bddb86
JVASP-10141,train,Hg3(SF)2,28,0.10207023471593857,2,False,8e88071c621ced7513f3c58771d0dcec93d69a022933f144b95c5e315b0738a1
JVASP-10142,train,GeF2,12,0.042391613125801086,1,False,c4bddad529d60236be051484ace7ed3f1fecb2fe7ab4770cab19cf15d23a1380
JVASP-10154,train,K2Se3,20,0.3191133141517639,2,False,fd1e7c99b5336ed2189630ed4a5c79bf7dbc0f75d7c584e245eb77e01d2fd8cf
JVASP-10155,train,Li2CdGeO4,16,0.7633649110794067,3,False,778e21a43064a1651bf3ec479338fcac0fbce0f56dcae6d82393d887a5827d59
JVASP-10177,train,SbAsO4,12,0.0,0,True,c5eebc3ea0a8148c9dc74dcdf0951c339c6f9ce69978226636c7984c22e17253
JVASP-10178,train,HfSO,12,0.5576263666152954,3,False,e9f0c61291dd19bcfdc226565ce7308f70be81c6f98383143f10498c7703d529
JVASP-10179,train,MgGeN2,16,0.994848906993866,3,False,331449fef7a21f2772ad9b3d7ad41404868d6a4e1302264005fe6886b2519fd9
JVASP-10181,train,GeO2,12,0.1616699993610382,2,False,71ad348f963c2d5cc01a6ad4ecad6fecac0a947aeb1ad98c36fe685af3d1c9ef
JVASP-10190,train,SrP,12,0.00546000013127923,1,False,61191fcd1fe374d8194e51f8a62137837cbc90656d85012c0fecf85a2916748b
JVASP-10198,train,Li2Ge2O5,36,0.6661702394485474,3,False,c265d8a306de612bc9573713db4b4862b11b1e979a8bd095ce0b3d26f0928484
JVASP-1022,train,Te,3,1.447096347808838,4,False,24a9e432fd30169bab566f4968bb63cdf4dbc5db31bb8a1e2467b06eb2747b80
JVASP-1023,train,Te,3,1.9294967651367188,4,False,1e0524731e940f7356b66fe1689ca9f14a9089629a680ebc705559968a8a0123
JVASP-1024,train,Te,3,1.1580843925476074,4,False,dba7699d57fb8a167c6edd4711d926e90adc6ef2e52f76cb4b59d37eccfdbca3
JVASP-10240,train,KAlSiO4,14,0.11033352464437485,2,False,d80dbd5ff306dba453bfe247a103eff39fb5f2d40232861449e5b53347248946
JVASP-10241,train,TeO2,12,0.8410155773162842,3,False,2c475e894796484eabad0fd4d00293895da1b9adfcc2c9043f3b7f429a7313d0
JVASP-10264,train,SbIrS,12,0.2923220992088318,2,False,f498ec2f01c52bbb69c6f267c29c0c71307238f438405e92a484538cd1bc184e
JVASP-10271,train,K3SbSe4,48,0.4471379816532135,2,False,d0c4d675b191345670e1fbca6acfd5e5df53bd9333ca9bf7bdfa27f4c97907e8
JVASP-104,train,TiO2,12,0.0,0,True,45d3333476660c9168ae5a5e06a56fe2b4c0f445c9dd53b6b644b12d8b8dd273
JVASP-10460,train,NaLi2AsO4,16,0.46748682856559753,2,False,107b9b4874b4184b35b1e742749b26d765247bc49ddbeeccd63e64f22499b801
JVASP-10479,train,RbS,12,0.01344000082463026,1,False,3ec48c838bd13fc8c2e6b1122a3058eeb07308890bd6625aa6a92008e410d545
JVASP-1048,train,Xe,1,0.0,0,True,61d257bdf0c156a758b0690660ee27039bd8694d8e1a7f64a83922841c3f7f6f
JVASP-10480,train,RbSe,12,0.005460001062601805,1,False,546975a1f66468b71d7a0f1fd7b67659c48d9a1eedce23b084d897c52104b067
JVASP-10493,train,Li3AsO4,16,0.5519613027572632,3,False,7057b2e7150a753fad091ec822b2c0707efdf4c54fc6daac87f5088d4343e964
JVASP-10496,train,NaAlO2,16,0.30628618597984314,2,False,b6c906e9e965ea892ca3a062ee6db8bdf5e1c2212c3736783442c5b270cc24c7
JVASP-10499,train,Cu2SiS3,24,1.1120364665985107,4,False,fbb9ee170c3b8489e5382e6d9d7760f18cc7447964b8b2f14c0f19c6f8562d48
JVASP-10572,train,Rb3NbO8,24,0.419729083776474,2,False,3828b6f6f4ddf6fe55f5a926a57e5a3a7760f0d6dbca3f30241a381a58b8cd93
JVASP-10576,train,BaAl2B2O7,36,0.39688819646835327,2,False,ecf4824e272142564b4a823cf2f1da6f3379287aa7288326db040d7de2052a24
JVASP-10587,train,Ag2GeS3,24,1.217356562614441,4,False,6c1915c9c032b51dbb9eb2f16e156405da0778cb2046f703eefd57df92596b23
JVASP-10591,train,ZnS,12,1.2343891859054565,4,False,8d65a22731f08eafbb6354d5a39507c83483cfb7cce20a24378f8e256aa3eb52
JVASP-1067,train,Bi2Se3,15,0.0,0,True,c1e3c84acf8e98ae395f903cf5afdc63f780d0440458494a2dd6eacc40db2ca2
JVASP-10675,train,AgB(CN)4,10,0.11767348647117615,2,False,e40201b59243277889e883a703f582ca74de773dbe70e378673dcf5a115dd5dd
JVASP-10676,train,Na4ReN3,32,0.4371231198310852,2,False,78b544c49569774d0ed1230ad96086ad155c83eb66e8ac453937f264ac780442
JVASP-107,train,SiC,8,1.6316579580307007,4,False,bf255b3e9063a72e8494cd25a98c81bc951e93c7ac716dcdaf358059951d3314
JVASP-10705,train,HgSeO4,12,0.9941785335540771,3,False,251fec94b247ccd17936e45d7aa0766d34221f62ce078cbc6b01a3cd31eb4f6b
JVASP-10706,train,RbAs,16,0.23590679466724396,2,False,018dcb109c0dd34452debcc80e7589e8e6ca95c9971f628a0e165968fd714a9b
JVASP-10718,train,Ag2SnHgSe4,16,1.1545647382736206,4,False,fcfc18fea20203a2187043ae1dedbe66a699f70415b4597b9a31a1b71c98191e
JVASP-10727,train,RbCd(NO2)3,33,0.5807498693466187,3,False,e31a7280ffd0f438317a1fc9d2a099f1703f837b099bcb56b08964c012cd7285
JVASP-1073,train,SiGe,4,0.14108099043369293,2,False,09f7bace6be92d65709232020855035e09c470915eb6a46af73b8a9e19d78f07
JVASP-10734,train,Ca(SbO2)4,26,0.5241396427154541,3,False,57c4f5a5b4baf1206281f1c5ab99fede462cb522a6f2d1ec0cf72c2237def274
JVASP-10736,train,Mg(SbO2)4,13,0.6866921782493591,3,False,de75318238025402453e62de18598dddbd97fb3eda41066a8322d9e5ea8dc581
JVASP-10760,train,TlCd(NO2)3,33,0.6948631405830383,3,False,c0f29d00a2bef42113af186d3b086dd03a9010a706bda45b48382a70b219b1a2
JVASP-10785,train,LiGaSe2,16,0.864952564239502,3,False,1b203e5c1199738ca50378173a13e0877f7a686db0d45ede8b9c12c4118a7431
JVASP-10793,train,Si3N4,28,0.5726661682128906,3,False,43a361c0e517b18b167f623e4a3433b18839b0d0379ee09c9b5d514183a3c1ba
JVASP-10797,train,BAsO4,18,0.6040688157081604,3,False,b20b2fb9b31e6c26f81d0d801bec167f5272548c915dd57ab8236b3f0040849a
JVASP-10806,train,TiO2,36,0.7651692628860474,3,False,df2106782ea6f20796cad39061208082534f7bc4b7e47533cdd7e768d1ef78c3
