material_id,split,formula,atom_count,tensor_norm,response_stratum,physical_zero,target_cache_sha256
JVASP-10,train,VSe2,3,0.0,0,True,e907d24b831b3db5b9e94858969326c0a2773c569b282e5ffe50142ca4d8fc21
JVASP-10001,train,Li2ZrTeO6,30,0.24271060526371002,2,False,57564f1de4dac9df0ee74713d97bcfae32c6b82a1e09ea2903fdfb00ee9337c6
JVASP-1001,train,Si,8,0.0,0,True,c48523d0b162d4570d01cc7b213c86c6459b217cfc1d3915264679f17794e26f
JVASP-10013,train,KGeNO,16,0.68392014503479,3,False,ece1b354a0a06070d725438fca3adcf60a10ef4975f2d90b6e3df4620afa9954
JVASP-1002,train,Si,8,0.0,0,True,0c321206af5db315513ce669de657d487b0fd294b84e672ef57a0af90f9b02f4
JVASP-10083,train,LiAlSe2,16,0.7339960932731628,3,False,f0f8ce77a5a4b269a847d58bda07d17c9c31fdf206b85483e04d8466b43ac3a5
JVASP-10088,train,KCrP2S7,22,0.38332074880599976,2,False,8e52e5c670554ed456c39fccaebf6c533e1774a96ead96a102ef86541c337c5a
JVASP-10122,train,NaP,16,0.23981338739395142,2,False,8aad58e065d681c986ef2bdb6ab57fe159cadf2a4ee7bb6a7dad7ba262306d3b
JVASP-10123,train,KP,16,0.20123931765556335,2,False,174588a69e3eb143b4ba633f421ada359a2f141f23d5f536508782cd3486cdce
JVASP-10125,train,Rb2S3,20,0.30819249153137207,2,False,534d8cf411bb0f2f47b5a8cbe2bd22697471df99527183a22e776d786e2fb687
JVASP-10126,train,Rb2Se3,20,0.3321959376335144,2,False,4c0eb5c05f3720d094716e58bfda78be5740ecba1caa979d580305aed0dd7a58
JVASP-10128,train,SnF2,12,0.048934206366539,1,False,b5f1aac19ccaf1d718e11d76a3ede0f4709b86eff4b467c5ca1c52090604bf69
JVASP-10129,train,SnF2,12,0.05927000194787979,2,False,adb0fe2369060e271f0c3f0418babee4b5df7c68dd2a8dcb8af5472a929445d7
JVASP-10141,train,Hg3(SF)2,28,0.10207023471593857,2,False,d0fe0e15f068de79487ba3552c969408d166f237a27eb07cf7bb55bc0488fad1
JVASP-10142,train,GeF2,12,0.042391613125801086,1,False,3ad8c4902a9a4f4acf1b0249dac6ea09906302d9808019e83097f5d6eedc6186
JVASP-10154,train,K2Se3,20,0.3191133141517639,2,False,40693f1e78befa0df7fc276ac320e54ec9a9eba83c2220bce463efafcab57c03
JVASP-10155,train,Li2CdGeO4,16,0.7633649110794067,3,False,7d6b37fda4b873f486a491c0b27e923ed44f64d32a751dd6abc1a9473825ecb5
JVASP-10177,train,SbAsO4,12,0.0,0,True,6085db162e7a1c73bc0add616849ed9c19470286157f5c98f755c9b39d8fd076
JVASP-10178,train,HfSO,12,0.5576263666152954,3,False,b4ad9b562f58aaa084b26d90cf74e006579cc9b63d161a7b9ace61521d86721e
JVASP-10179,train,MgGeN2,16,0.994848906993866,3,False,d42aa746584a9b4374705fb99a4979bc8329f4dd67100eb9c8d09131ffe70161
JVASP-10181,train,GeO2,12,0.1616699993610382,2,False,e46c33687984e64cc6f131160c39fae26808465c8130744b619233f8574e4a21
JVASP-10190,train,SrP,12,0.00546000013127923,1,False,66db0c13c8bd63222708c8008257c959a091b2afd3afb9e154222f683b12e110
JVASP-10198,train,Li2Ge2O5,36,0.6661702394485474,3,False,2a3a015921f8cd36bae4aa834b449a2e8cd173794e36cf17567c3444bf7da06a
JVASP-1022,train,Te,3,1.447096347808838,4,False,906e1738d7ec42f06e6425da45743d8d173921d75cc7415b9111028fbe9a4bbd
