metric,value,status,severity
upstream_records,5000,pass,
explicit_exclusions,2,pass,
artifact_rows,4998,pass,
target_cache_files,4998,pass,
train_rows,4000,pass,
validation_rows,499,pass,
test_rows,499,pass,
cross_split_formula_groups,0,pass,
cross_split_structurematcher_candidates,0,pass,
full_o3_physical_zero_targets,2300,pass,
train_zero_rate,0.4565,monitor,medium
validation_zero_rate,0.4629,monitor,medium
test_zero_rate,0.4870,monitor,medium
legacy_to_full_o3_norm_changed_rows,369,resolved,high
legacy_to_full_o3_new_zero_rows,3,resolved,high
max_legacy_to_full_o3_norm_difference,7.09777069091797,resolved,high
qualified_external_oracles,0,blocked,high
