source,assignment_exact,integer_lift_exact,translation_max_abs_error,optimum_cost_abs_error,second_cost_abs_error,endpoint_max_abs_error,velocity_max_abs_error,coupling_gap,passed
0,True,True,0.0,0.0,0.0,0.0,0.0,0.9962806701660156,True
1,True,True,0.0,0.0,0.0,0.0,0.0,0.2562370300292969,True
2,True,True,0.0,0.0,0.0,0.0,0.0,0.1121983528137207,True
3,True,True,0.0,0.0,0.0,0.0,0.0,0.19796276092529297,True
4,True,True,0.0,0.0,0.0,0.0,0.0,0.1234426498413086,True
5,True,True,0.0,0.0,0.0,0.0,0.0,3.1664819717407227,True
6,True,True,0.0,0.0,0.0,0.0,0.0,0.7009401321411133,True
7,True,True,0.0,0.0,0.0,0.0,0.0,2.2216720581054688,True
8,True,True,0.0,0.0,0.0,0.0,0.0,2.8396081924438477,True
9,True,True,0.0,0.0,0.0,0.0,0.0,0.45047760009765625,True
10,True,True,0.0,0.0,0.0,0.0,0.0,1.1283073425292969,True
11,True,True,0.0,0.0,0.0,0.0,0.0,0.21219444274902344,True
12,True,True,0.0,0.0,0.0,0.0,0.0,2.670020580291748,True
13,True,True,0.0,0.0,0.0,0.0,0.0,0.36728477478027344,True
14,True,True,0.0,0.0,0.0,0.0,0.0,1.8524188995361328,True
15,True,True,0.0,0.0,0.0,0.0,0.0,0.40777015686035156,True
16,True,True,0.0,0.0,0.0,0.0,0.0,0.7517404556274414,True
17,True,True,0.0,0.0,0.0,0.0,0.0,0.2137460708618164,True
18,True,True,0.0,0.0,0.0,0.0,0.0,3.896055221557617,True
19,True,True,0.0,0.0,0.0,0.0,0.0,1.1492395401000977,True
20,True,True,0.0,0.0,0.0,0.0,0.0,0.7844963073730469,True
21,True,True,0.0,0.0,0.0,0.0,0.0,1.9413089752197266,True
22,True,True,0.0,0.0,0.0,0.0,0.0,1.0146093368530273,True
23,True,True,0.0,0.0,0.0,0.0,0.0,5.3564653396606445,True
24,True,True,0.0,0.0,0.0,0.0,0.0,0.6939792633056641,True
25,True,True,0.0,0.0,0.0,0.0,0.0,2.9365968704223633,True
26,True,True,0.0,0.0,0.0,0.0,0.0,1.0146636962890625,True
27,True,True,0.0,0.0,0.0,0.0,0.0,0.5180797576904297,True
28,True,True,0.0,0.0,0.0,0.0,0.0,4.055551528930664,True
29,True,True,0.0,0.0,0.0,0.0,0.0,1.569533348083496,True
30,True,True,0.0,0.0,0.0,0.0,0.0,1.9035792350769043,True
31,True,True,0.0,0.0,0.0,0.0,0.0,3.8528294563293457,True
32,True,True,0.0,0.0,0.0,0.0,0.0,0.3365449905395508,True
33,True,True,0.0,0.0,0.0,0.0,0.0,1.019643783569336,True
34,True,True,0.0,0.0,0.0,0.0,0.0,0.7804079055786133,True
35,True,True,0.0,0.0,0.0,0.0,0.0,0.9145278930664062,True
36,True,True,0.0,0.0,0.0,0.0,0.0,0.5325775146484375,True
37,True,True,0.0,0.0,0.0,0.0,0.0,3.14182186126709,True
38,True,True,0.0,0.0,0.0,0.0,0.0,1.9582290649414062,True
39,True,True,0.0,0.0,0.0,0.0,0.0,2.6874189376831055,True
40,True,True,0.0,0.0,0.0,0.0,0.0,3.0703558921813965,True
41,True,True,0.0,0.0,0.0,0.0,0.0,2.1541194915771484,True
42,True,True,0.0,0.0,0.0,0.0,0.0,1.7903251647949219,True
43,True,True,0.0,0.0,0.0,0.0,0.0,0.7519540786743164,True
44,True,True,0.0,0.0,0.0,0.0,0.0,1.225494384765625,True
45,True,True,0.0,0.0,0.0,0.0,0.0,0.09851455688476562,True
46,True,True,0.0,0.0,0.0,0.0,0.0,1.8292407989501953,True
47,True,True,0.0,0.0,0.0,0.0,0.0,0.1157236099243164,True
48,True,True,0.0,0.0,0.0,0.0,0.0,3.589676856994629,True
49,True,True,0.0,0.0,0.0,0.0,0.0,1.3303446769714355,True
50,True,True,0.0,0.0,0.0,0.0,0.0,0.09961128234863281,True
51,True,True,0.0,0.0,0.0,0.0,0.0,1.8148369789123535,True
52,True,True,0.0,0.0,0.0,0.0,0.0,0.18515586853027344,True
53,True,True,0.0,0.0,0.0,0.0,0.0,0.8015031814575195,True
54,True,True,0.0,0.0,0.0,0.0,0.0,2.1169376373291016,True
55,True,True,0.0,0.0,0.0,0.0,0.0,3.130352020263672,True
56,True,True,0.0,0.0,0.0,0.0,0.0,1.2341527938842773,True
57,True,True,0.0,0.0,0.0,0.0,0.0,1.6651229858398438,True
58,True,True,0.0,0.0,0.0,0.0,0.0,1.1030769348144531,True
59,True,True,0.0,0.0,0.0,0.0,0.0,1.1850271224975586,True
60,True,True,0.0,0.0,0.0,0.0,0.0,1.1086034774780273,True
61,True,True,0.0,0.0,0.0,0.0,0.0,0.21762943267822266,True
62,True,True,0.0,0.0,0.0,0.0,0.0,0.7817039489746094,True
63,True,True,0.0,0.0,0.0,0.0,0.0,1.1797122955322266,True
