time,dimension,vector_jacobian_spectral_norm,flow_singular_value_min,flow_singular_value_max,flow_log_abs_det,endpoint_singular,variational_steps,variational_flow_jacobian_max_error
0.0,9,1.0,1.0,1.0,0.0,False,,
0.03125,9,1.032258064516129,0.96875,0.96875,-0.28573828483122266,False,,
0.0625,9,1.0666666666666667,0.9375,0.9375,-0.5808466902381406,False,,
0.09375,9,1.103448275862069,0.90625,0.90625,-0.8859606553192727,False,,
0.125,9,1.1428571428571428,0.875,0.875,-1.2017825336207038,False,,
0.15625,9,1.1851851851851851,0.84375,0.84375,-1.5290913311585772,False,,
0.1875,9,1.2307692307692308,0.8125,0.8125,-1.8687542830042003,False,,
0.21875,9,1.28,0.78125,0.78125,-2.221740701383732,False,,
0.25,9,1.3333333333333333,0.75,0.75,-2.589138652066028,False,,
0.28125,9,1.391304347826087,0.71875,0.71875,-2.972175181835192,False,,
0.3125,9,1.4545454545454546,0.6875,0.6875,-3.3722410449726965,False,,
0.34375,9,1.5238095238095237,0.65625,0.65625,-3.7909211856867318,False,,
0.375,9,1.6,0.625,0.625,-4.23003266321162,False,,
0.40625,9,1.6842105263157894,0.59375,0.59375,-4.691672312699574,False,,
0.4375,9,1.7777777777777777,0.5625,0.5625,-5.178277304132056,False,,
0.46875,9,1.8823529411764706,0.53125,0.53125,-5.692703028691595,False,,
0.5,9,2.0,0.5,0.5,-6.238324625039508,False,,
0.53125,9,2.1333333333333333,0.46875,0.46875,-6.819171315277648,False,,
0.5625,9,2.2857142857142856,0.4375,0.4375,-7.440107158660211,False,,
0.59375,9,2.4615384615384617,0.40625,0.40625,-8.107078908043707,False,,
0.625,9,2.6666666666666665,0.375,0.375,-8.827463277105537,False,,
0.65625,9,2.909090909090909,0.34375,0.34375,-9.610565670012205,False,,
0.6875,9,3.2,0.3125,0.3125,-10.468357288251127,False,,
0.71875,9,3.5555555555555554,0.28125,0.28125,-11.416601929171565,False,,
0.75,9,4.0,0.25,0.25,-12.476649250079015,False,,
0.78125,9,4.571428571428571,0.21875,0.21875,-13.67843178369972,False,,
0.8125,9,5.333333333333333,0.1875,0.1875,-15.065787902145043,False,,
0.84375,9,6.4,0.15625,0.15625,-16.706681913290637,False,,
0.875,9,8.0,0.125,0.125,-18.71497387511852,False,,
0.90625,9,10.666666666666666,0.09375,0.09375,-21.304112527184554,False,,
0.9375,9,16.0,0.0625,0.0625,-24.95329850015803,False,,
0.96875,9,32.0,0.03125,0.03125,-31.191623125197538,False,,
1.0,9,,0.0,0.0,-inf,True,,
0.999999,9,,,,,,32.0,1.6264767310758543e-13
0.999999,9,,,,,,64.0,9.485294494293584e-14
0.999999,9,,,,,,128.0,2.5963606264944872e-14
